Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2005-01-01,06:51:20,17:06:07,10:14:47,,10:38:00,22:20:00,,12:18:00,06:51:20,10:38:00,3:46:40,17:06:07,22:20:00,5:13:53,,,,
2005-01-02,06:51:33,17:06:50,10:15:16,,11:06:00,23:16:00,,11:50:00,06:51:33,11:06:00,4:14:26,17:06:50,23:16:00,6:09:10,,,,
2005-01-03,06:51:45,17:07:33,10:15:48,,11:33:00,,,11:33:00,06:51:45,11:33:00,4:41:14,17:07:33,00:00:00,6:52:26,,,,
2005-01-04,06:51:56,17:08:18,10:16:22,00:13:00,12:02:00,,,11:49:00,06:51:56,12:02:00,5:10:04,00:00:00,00:00:00,7:04:41,,,,
2005-01-05,06:52:05,17:09:04,10:16:59,,12:34:00,,,12:34:00,06:52:05,12:34:00,5:41:55,17:09:04,00:00:00,6:50:56,,,,
2005-01-06,06:52:12,17:09:50,10:17:38,02:18:00,13:11:00,,,10:53:00,06:52:12,13:11:00,6:18:48,00:00:00,00:00:00,9:08:10,,,,
2005-01-07,06:52:17,17:10:37,10:18:19,03:27:00,13:55:00,,,10:28:00,06:52:17,13:55:00,7:02:42,00:00:00,00:00:00,10:16:23,,,,
2005-01-08,06:52:21,17:11:24,10:19:03,04:39:00,14:49:00,,,10:10:00,06:52:21,14:49:00,7:56:38,00:00:00,00:00:00,11:27:35,,,,
2005-01-09,06:52:24,17:12:12,10:19:49,05:51:00,15:53:00,,,10:02:00,06:52:24,15:53:00,9:00:36,00:00:00,00:00:00,12:38:47,,,,
2005-01-10,06:52:24,17:13:01,10:20:37,06:58:00,17:06:00,,,10:08:00,06:58:00,17:06:00,10:08:00,00:00:00,00:00:00,13:39:23,,,,
2005-01-11,06:52:23,17:13:50,10:21:27,07:55:00,18:21:00,,,10:26:00,07:55:00,17:13:50,9:18:51,00:00:00,00:00:00,12:31:24,,,,
2005-01-12,06:52:20,17:14:40,10:22:20,08:43:00,19:35:00,,,10:52:00,08:43:00,17:14:40,8:31:41,00:00:00,00:00:00,11:17:21,,,,
2005-01-13,06:52:16,17:15:30,10:23:14,09:23:00,20:45:00,,,11:22:00,09:23:00,17:15:30,7:52:31,00:00:00,00:00:00,10:07:17,,,,
2005-01-14,06:52:10,17:16:21,10:24:11,09:58:00,21:50:00,,,11:52:00,09:58:00,17:16:21,7:18:22,00:00:00,00:00:00,9:02:10,,,,
2005-01-15,06:52:02,17:17:12,10:25:10,10:29:00,22:52:00,,,12:23:00,10:29:00,17:17:12,6:48:13,00:00:00,00:00:00,8:00:03,,,,
2005-01-16,06:51:53,17:18:03,10:26:11,10:59:00,23:51:00,,,12:52:00,10:59:00,17:18:03,6:19:04,00:00:00,00:00:00,7:00:53,,,,
2005-01-17,06:51:42,17:18:55,10:27:13,11:28:00,,,,12:32:00,11:28:00,17:18:55,5:50:55,00:00:00,06:51:42,6:51:42,,,,
2005-01-18,06:51:29,17:19:47,10:28:18,,00:50:00,11:59:00,,12:51:00,11:59:00,17:19:47,5:20:47,00:50:00,06:51:29,6:01:30,,,,
2005-01-19,06:51:15,17:20:39,10:29:24,12:33:00,,,,11:27:00,12:33:00,17:20:39,4:47:39,00:00:00,06:51:15,6:51:15,,,,
