Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Total-Moon-Visible-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Surya-Time,Chandra-Time,Agni-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days,Surya-Days,Chandra-Days,Agni-Days
2023-01-01,06:51:11,17:05:49,10:14:38,13:07:00,,,,10:53:00,119.43,13:07:00,17:05:49,3:58:50,10:53:00,00:00:00,06:51:11,6:51:12,0:00:00,10:53:00,6:51:12,,,,,,,
2023-01-02,06:51:26,17:06:32,10:15:06,,02:46:00,13:40:00,,13:06:00,131.43,13:40:00,17:06:32,3:26:32,13:06:00,02:46:00,06:51:26,4:05:26,0:00:00,13:06:00,4:05:26,,,,,,,
2023-01-03,06:51:38,17:07:15,10:15:37,,03:45:00,14:17:00,,13:28:00,142.43,14:17:00,17:07:15,2:50:16,13:28:00,03:45:00,06:51:38,3:06:39,0:00:00,13:28:00,3:06:39,,,,,,,
2023-01-04,06:51:49,17:07:59,10:16:10,,04:44:00,14:59:00,,13:45:00,153.43,14:59:00,17:07:59,2:09:00,13:45:00,04:44:00,06:51:49,2:07:50,0:00:00,13:45:00,2:07:50,,,,,,,
2023-01-05,06:51:59,17:08:45,10:16:46,,05:41:00,15:46:00,,13:55:00,164.43,15:46:00,17:08:45,1:22:45,13:55:00,05:41:00,06:51:59,1:10:59,0:00:00,13:55:00,1:10:59,,,,,,,
2023-01-06,06:52:06,17:09:30,10:17:24,,06:34:00,16:37:00,,13:57:00,175.43,16:37:00,17:09:30,0:32:31,13:57:00,06:34:00,06:52:06,0:18:07,0:00:00,13:57:00,0:18:07,,,,,,,
2023-01-07,06:52:13,17:10:17,10:18:04,,07:23:00,17:32:00,,13:51:00,186.43,06:52:13,07:23:00,0:30:47,13:51:00,17:10:17,17:32:00,0:21:42,0:00:00,13:51:00,0:21:42,,,,,,,
2023-01-08,06:52:17,17:11:04,10:18:47,,08:06:00,18:28:00,,13:38:00,197.43,06:52:17,08:06:00,1:13:42,13:38:00,17:11:04,18:28:00,1:16:55,0:00:00,13:38:00,1:16:55,,,,,,,
2023-01-09,06:52:20,17:11:52,10:19:32,,08:44:00,19:25:00,,13:19:00,208.43,06:52:20,08:44:00,1:51:39,13:19:00,17:11:52,19:25:00,2:13:07,0:00:00,13:19:00,2:13:07,,,,,,,
2023-01-10,06:52:21,17:12:41,10:20:20,,09:18:00,20:20:00,,12:58:00,218.43,06:52:21,09:18:00,2:25:38,12:58:00,17:12:41,20:20:00,3:07:19,0:00:00,12:58:00,3:07:19,,,,,,,
2023-01-11,06:52:21,17:13:30,10:21:09,,09:48:00,21:15:00,,12:33:00,229.43,06:52:21,09:48:00,2:55:39,12:33:00,17:13:30,21:15:00,4:01:29,0:00:00,12:33:00,4:01:29,,,,,,,
2023-01-12,06:52:19,17:14:20,10:22:01,,10:16:00,22:10:00,,12:06:00,240.43,06:52:19,10:16:00,3:23:41,12:06:00,17:14:20,22:10:00,4:55:40,0:00:00,12:06:00,4:55:40,,,,,,,
2023-01-13,06:52:15,17:15:10,10:22:55,,10:44:00,23:05:00,,11:39:00,251.43,06:52:15,10:44:00,3:51:45,11:39:00,17:15:10,23:05:00,5:49:50,0:00:00,11:39:00,5:49:50,,,,,,,
2023-01-14,06:52:09,17:16:00,10:23:51,,11:11:00,,,11:11:00,263.43,06:52:09,11:11:00,4:18:50,11:11:00,17:16:00,00:00:00,6:43:59,0:00:00,11:11:00,6:43:59,,,,,,,
