Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2003-01-01,08:06:37,16:01:26,7:54:49,06:54:00,14:30:00,,,7:36:00,08:06:37,14:30:00,6:23:23,00:00:00,00:00:00,14:52:34,,,,
2003-01-02,08:06:30,16:02:29,7:55:59,08:06:00,15:22:00,,,7:16:00,08:06:30,15:22:00,7:15:29,00:00:00,00:00:00,16:03:30,,,,
2003-01-03,08:06:21,16:03:36,7:57:15,09:04:00,16:28:00,,,7:24:00,09:04:00,16:03:36,6:59:36,00:00:00,00:00:00,15:38:21,,,,
2003-01-04,08:06:08,16:04:44,7:58:37,09:47:00,17:42:00,,,7:55:00,09:47:00,16:04:44,6:17:45,00:00:00,00:00:00,14:24:08,,,,
2003-01-05,08:05:51,16:05:56,8:00:04,10:18:00,18:59:00,,,8:41:00,10:18:00,16:05:56,5:47:56,00:00:00,00:00:00,13:06:52,,,,
2003-01-06,08:05:32,16:07:10,8:01:38,10:41:00,20:14:00,,,9:33:00,10:41:00,16:07:10,5:26:10,00:00:00,00:00:00,11:51:32,,,,
2003-01-07,08:05:09,16:08:26,8:03:17,10:59:00,21:27:00,,,10:28:00,10:59:00,16:08:26,5:09:27,00:00:00,00:00:00,10:38:09,,,,
2003-01-08,08:04:43,16:09:45,8:05:02,11:14:00,22:37:00,,,11:23:00,11:14:00,16:09:45,4:55:45,00:00:00,00:00:00,9:27:43,,,,
2003-01-09,08:04:13,16:11:05,8:06:52,11:27:00,23:45:00,,,12:18:00,11:27:00,16:11:05,4:44:06,00:00:00,00:00:00,8:19:14,,,,
2003-01-10,08:03:41,16:12:28,8:08:47,11:40:00,,,,12:20:00,11:40:00,16:12:28,4:32:29,00:00:00,08:03:41,8:03:41,,,,
2003-01-11,08:03:05,16:13:53,8:10:48,,00:53:00,11:53:00,,13:00:00,11:53:00,16:13:53,4:20:53,00:53:00,08:03:05,7:10:06,,,,
2003-01-12,08:02:26,16:15:20,8:12:53,,02:01:00,12:09:00,,13:52:00,12:09:00,16:15:20,4:06:20,02:01:00,08:02:26,6:01:27,,,,
2003-01-13,08:01:44,16:16:48,8:15:04,,03:11:00,12:27:00,,14:44:00,12:27:00,16:16:48,3:49:49,03:11:00,08:01:44,4:50:45,,,,
2003-01-14,08:01:00,16:18:19,8:17:19,,04:23:00,12:51:00,,15:32:00,12:51:00,16:18:19,3:27:19,04:23:00,08:01:00,3:38:00,,,,
2003-01-15,08:00:12,16:19:51,8:19:39,,05:34:00,13:23:00,,16:11:00,13:23:00,16:19:51,2:56:51,05:34:00,08:00:12,2:26:12,,,,
2003-01-16,07:59:21,16:21:25,8:22:04,,06:41:00,14:06:00,,16:35:00,14:06:00,16:21:25,2:15:25,06:41:00,07:59:21,1:18:21,,,,
2003-01-17,07:58:27,16:23:00,8:24:32,,07:40:00,15:02:00,,16:38:00,15:02:00,16:23:00,1:21:00,07:40:00,07:58:27,0:18:28,,,,
2003-01-18,07:57:31,16:24:36,8:27:06,,08:28:00,16:12:00,,16:16:00,07:57:31,16:24:36,0:43:06,,,0:00:00,,,,
2003-01-19,07:56:32,16:26:14,8:29:43,,09:05:00,17:31:00,,15:34:00,07:56:32,09:05:00,1:08:28,16:26:14,17:31:00,1:04:45,,,,
2003-01-20,07:55:30,16:27:54,8:32:24,,09:33:00,18:54:00,,14:39:00,07:55:30,09:33:00,1:37:30,16:27:54,18:54:00,2:26:06,,,,
2003-01-21,07:54:25,16:29:34,8:35:09,,09:55:00,20:18:00,,13:37:00,07:54:25,09:55:00,2:00:35,16:29:34,20:18:00,3:48:26,,,,
2003-01-22,07:53:18,16:31:15,8:37:58,,10:13:00,21:41:00,,12:32:00,07:53:18,10:13:00,2:19:42,16:31:15,21:41:00,5:09:44,,,,
2003-01-23,07:52:08,16:32:58,8:40:50,,10:30:00,23:04:00,,11:26:00,07:52:08,10:30:00,2:37:52,16:32:58,23:04:00,6:31:02,,,,
2003-01-24,07:50:55,16:34:41,8:43:46,,10:46:00,,,10:46:00,07:50:55,10:46:00,2:55:04,16:34:41,00:00:00,7:25:18,,,,
2003-01-25,07:49:41,16:36:26,8:46:45,00:27:00,11:04:00,,,10:37:00,07:49:41,11:04:00,3:14:19,00:00:00,00:00:00,7:50:34,,,,
2003-01-26,07:48:23,16:38:11,8:49:47,01:51:00,11:25:00,,,9:34:00,07:48:23,11:25:00,3:36:36,00:00:00,00:00:00,9:12:49,,,,
2003-01-27,07:47:04,16:39:57,8:52:53,03:15:00,11:51:00,,,8:36:00,07:47:04,11:51:00,4:03:56,00:00:00,00:00:00,10:35:03,,,,
2003-01-28,07:45:42,16:41:43,8:56:01,04:37:00,12:25:00,,,7:48:00,07:45:42,12:25:00,4:39:17,00:00:00,00:00:00,11:55:16,,,,
2003-01-29,07:44:18,16:43:30,8:59:12,05:52:00,13:11:00,,,7:19:00,07:44:18,13:11:00,5:26:42,00:00:00,00:00:00,13:08:29,,,,
2003-01-30,07:42:52,16:45:18,9:02:26,06:54:00,14:10:00,,,7:16:00,07:42:52,14:10:00,6:27:08,00:00:00,00:00:00,14:08:42,,,,
2003-01-31,07:41:23,16:47:06,9:05:43,07:42:00,15:21:00,,,7:39:00,07:42:00,15:21:00,7:39:00,00:00:00,00:00:00,14:54:17,,,,
2003-02-01,07:39:53,16:48:54,9:09:02,08:17:00,16:37:00,,,8:20:00,08:17:00,16:37:00,8:20:00,00:00:00,00:00:00,14:50:58,,,,
2003-02-02,07:38:20,16:50:43,9:12:23,08:43:00,17:53:00,,,9:10:00,08:43:00,16:50:43,8:07:44,00:00:00,00:00:00,13:45:21,,,,
2003-02-03,07:36:46,16:52:32,9:15:47,09:02:00,19:08:00,,,10:06:00,09:02:00,16:52:32,7:50:33,00:00:00,00:00:00,12:28:46,,,,
2003-02-04,07:35:09,16:54:22,9:19:12,09:18:00,20:19:00,,,11:01:00,09:18:00,16:54:22,7:36:22,00:00:00,00:00:00,11:16:10,,,,
2003-02-05,07:33:31,16:56:12,9:22:40,09:32:00,21:29:00,,,11:57:00,09:32:00,16:56:12,7:24:12,00:00:00,00:00:00,10:04:32,,,,
