Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Total-Moon-Visible-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Surya-Time,Chandra-Time,Agni-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days,Surya-Days,Chandra-Days,Agni-Days
2014-01-01,08:06:31,16:01:47,7:55:15,07:35:00,16:38:00,,,9:03:00,359.43,08:06:31,16:01:47,7:55:15,0:00:00,00:00:00,00:00:00,14:57:00,7:55:15,9:03:00,14:57:00,,,,,,,
2014-01-02,08:06:24,16:02:51,7:56:27,08:23:00,17:57:00,,,9:34:00,13.43,08:23:00,16:02:51,7:39:52,0:00:00,00:00:00,00:00:00,14:09:24,7:56:27,9:34:00,14:09:24,,,,,,,
2014-01-03,08:06:13,16:03:58,7:57:45,09:02:00,19:18:00,,,10:16:00,27.43,09:02:00,16:03:58,7:01:59,0:00:00,00:00:00,00:00:00,12:48:14,7:57:45,10:16:00,12:48:14,,,,,,,
2014-01-04,08:05:59,16:05:08,7:59:09,09:34:00,20:39:00,,,11:05:00,41.43,09:34:00,16:05:08,6:31:09,11:05:00,00:00:00,00:00:00,11:26:59,0:00:00,11:05:00,11:26:59,,,,,,,
2014-01-05,08:05:42,16:06:20,8:00:39,10:03:00,21:57:00,,,11:54:00,55.43,10:03:00,16:06:20,6:03:21,11:54:00,00:00:00,00:00:00,10:08:42,0:00:00,11:54:00,10:08:42,,,,,,,
2014-01-06,08:05:21,16:07:35,8:02:14,10:29:00,23:13:00,,,12:44:00,68.43,10:29:00,16:07:35,5:38:36,12:44:00,00:00:00,00:00:00,8:52:21,0:00:00,12:44:00,8:52:21,,,,,,,
2014-01-07,08:04:57,16:08:52,8:03:55,10:54:00,,,,13:06:00,81.43,10:54:00,16:08:52,5:14:53,13:06:00,00:00:00,08:04:57,8:04:57,0:00:00,13:06:00,8:04:57,,,,,,,
2014-01-08,08:04:30,16:10:11,8:05:42,,00:26:00,11:20:00,,13:06:00,93.43,11:20:00,16:10:11,4:50:12,13:06:00,00:26:00,08:04:30,7:38:30,0:00:00,13:06:00,7:38:30,,,,,,,
2014-01-09,08:03:59,16:11:33,8:07:34,,01:35:00,11:48:00,,13:47:00,106.43,11:48:00,16:11:33,4:23:33,13:47:00,01:35:00,08:03:59,6:29:00,0:00:00,13:47:00,6:29:00,,,,,,,
2014-01-10,08:03:26,16:12:56,8:09:31,,02:42:00,12:19:00,,14:23:00,117.43,12:19:00,16:12:56,3:53:57,14:23:00,02:42:00,08:03:26,5:21:26,0:00:00,14:23:00,5:21:26,,,,,,,
2014-01-11,08:02:49,16:14:22,8:11:33,,03:45:00,12:55:00,,14:50:00,129.43,12:55:00,16:14:22,3:19:22,14:50:00,03:45:00,08:02:49,4:17:49,0:00:00,14:50:00,4:17:49,,,,,,,
2014-01-12,08:02:09,16:15:49,8:13:40,,04:43:00,13:36:00,,15:07:00,140.43,13:36:00,16:15:49,2:39:50,15:07:00,04:43:00,08:02:09,3:19:10,0:00:00,15:07:00,3:19:10,,,,,,,
2014-01-13,08:01:26,16:17:18,8:15:52,,05:35:00,14:23:00,,15:12:00,151.43,14:23:00,16:17:18,1:54:19,15:12:00,05:35:00,08:01:26,2:26:27,0:00:00,15:12:00,2:26:27,,,,,,,
2014-01-14,08:00:40,16:18:49,8:18:09,,06:21:00,15:15:00,,15:06:00,162.43,15:15:00,16:18:49,1:03:50,15:06:00,06:21:00,08:00:40,1:39:41,0:00:00,15:06:00,1:39:41,,,,,,,
2014-01-15,07:59:52,16:20:22,8:20:30,,07:00:00,16:12:00,,14:48:00,173.43,16:12:00,16:20:22,0:08:23,14:48:00,07:00:00,07:59:52,0:59:52,0:00:00,14:48:00,0:59:52,,,,,,,
2014-01-16,07:59:00,16:21:56,8:22:56,,07:34:00,17:12:00,,14:22:00,183.43,,,0:00:00,14:22:00,07:34:00,17:12:00,1:15:04,0:00:00,14:22:00,1:15:04,,,,,,,
