Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2018-01-01,08:06:31,16:01:48,7:55:17,,06:59:00,15:49:00,,15:10:00,170.43,15:49:00,16:01:48,0:12:48,15:49:00,16:01:48,0:12:48,06:59:00,08:06:31,1:07:31,,,,,
2018-01-02,08:06:23,16:02:52,7:56:29,,08:05:00,16:55:00,,15:10:00,184.43,,,0:00:00,,,0:00:00,08:05:00,16:55:00,0:53:31,,,,,
2018-01-03,08:06:12,16:04:00,7:57:47,,08:59:00,18:09:00,,14:50:00,198.43,08:06:12,08:59:00,0:52:47,08:06:12,08:59:00,0:52:47,16:04:00,18:09:00,2:05:00,,,,,
2018-01-04,08:05:58,16:05:10,7:59:11,,09:43:00,19:27:00,,14:16:00,212.43,08:05:58,09:43:00,1:37:01,08:05:58,09:43:00,1:37:01,16:05:10,19:27:00,3:21:50,,,,,
2018-01-05,08:05:41,16:06:22,8:00:41,,10:19:00,20:45:00,,13:34:00,226.43,08:05:41,10:19:00,2:13:19,08:05:41,10:19:00,2:13:19,16:06:22,20:45:00,4:38:38,,,,,
2018-01-06,08:05:20,16:07:37,8:02:17,,10:48:00,22:01:00,,12:47:00,239.43,08:05:20,10:48:00,2:42:40,08:05:20,10:48:00,2:42:40,16:07:37,22:01:00,5:53:23,,,,,
2018-01-07,08:04:56,16:08:54,8:03:58,,11:13:00,23:14:00,,11:59:00,252.43,08:04:56,11:13:00,3:08:04,08:04:56,11:13:00,3:08:04,16:08:54,23:14:00,7:05:06,,,,,
2018-01-08,08:04:28,16:10:13,8:05:44,,11:37:00,,,11:37:00,264.43,08:04:28,11:37:00,3:32:31,08:04:28,11:37:00,3:32:31,16:10:13,00:00:00,7:49:47,,,,,
2018-01-09,08:03:58,16:11:34,8:07:36,00:24:00,11:59:00,,,11:35:00,276.43,08:03:58,11:59:00,3:55:02,,,0:00:00,00:00:00,00:00:00,8:12:25,,,,,
2018-01-10,08:03:24,16:12:58,8:09:34,01:32:00,12:23:00,,,10:51:00,288.43,08:03:24,12:23:00,4:19:35,,,0:00:00,00:00:00,00:00:00,9:19:02,,,,,
2018-01-11,08:02:47,16:14:23,8:11:36,02:38:00,12:48:00,,,10:10:00,299.43,08:02:47,12:48:00,4:45:12,,,0:00:00,00:00:00,00:00:00,10:23:36,,,,,
2018-01-12,08:02:08,16:15:51,8:13:43,03:42:00,13:16:00,,,9:34:00,310.43,08:02:08,13:16:00,5:13:52,,,0:00:00,00:00:00,00:00:00,11:26:09,,,,,
2018-01-13,08:01:25,16:17:20,8:15:55,04:43:00,13:49:00,,,9:06:00,321.43,08:01:25,13:49:00,5:47:35,,,0:00:00,00:00:00,00:00:00,12:25:39,,,,,
2018-01-14,08:00:39,16:18:51,8:18:12,05:41:00,14:27:00,,,8:46:00,332.43,08:00:39,14:27:00,6:26:21,,,0:00:00,00:00:00,00:00:00,13:22:08,,,,,
2018-01-15,07:59:50,16:20:24,8:20:34,06:34:00,15:11:00,,,8:37:00,343.43,07:59:50,15:11:00,7:11:10,,,0:00:00,00:00:00,00:00:00,14:13:36,,,,,
2018-01-16,07:58:58,16:21:58,8:23:00,07:22:00,16:02:00,,,8:40:00,353.43,07:58:58,16:02:00,8:03:01,,,0:00:00,00:00:00,00:00:00,15:00:01,,,,,
2018-01-17,07:58:03,16:23:34,8:25:30,08:03:00,16:58:00,,,8:55:00,4.43,08:03:00,16:23:34,8:20:34,,,0:00:00,00:00:00,00:00:00,15:00:04,,,,,
2018-01-18,07:57:06,16:25:11,8:28:05,08:38:00,17:59:00,,,9:21:00,15.43,08:38:00,16:25:11,7:47:11,,,0:00:00,00:00:00,00:00:00,13:58:06,,,,,
2018-01-19,07:56:06,16:26:49,8:30:43,09:09:00,19:03:00,,,9:54:00,26.43,09:09:00,16:26:49,7:17:50,,,0:00:00,00:00:00,00:00:00,12:53:06,,,,,
2018-01-20,07:55:03,16:28:29,8:33:26,09:35:00,20:09:00,,,10:34:00,37.43,09:35:00,16:28:29,6:53:29,,,0:00:00,00:00:00,00:00:00,11:46:03,,,,,
2018-01-21,07:53:57,16:30:10,8:36:12,09:59:00,21:17:00,,,11:18:00,49.43,09:59:00,16:30:10,6:31:10,,,0:00:00,00:00:00,00:00:00,10:36:58,,,,,
2018-01-22,07:52:49,16:31:51,8:39:02,10:22:00,22:26:00,,,12:04:00,60.43,10:22:00,16:31:51,6:09:52,,,0:00:00,00:00:00,00:00:00,9:26:50,,,,,
2018-01-23,07:51:38,16:33:34,8:41:56,10:45:00,23:37:00,,,12:52:00,72.43,10:45:00,16:33:34,5:48:35,,,0:00:00,00:00:00,00:00:00,8:14:39,,,,,
2018-01-24,07:50:25,16:35:18,8:44:53,11:09:00,,,,12:51:00,84.43,11:09:00,16:35:18,5:26:18,,,0:00:00,00:00:00,07:50:25,7:50:26,,,,,
2018-01-25,07:49:10,16:37:03,8:47:53,,00:49:00,11:35:00,,13:14:00,97.43,11:35:00,16:37:03,5:02:03,11:35:00,16:37:03,5:02:03,00:49:00,07:49:10,7:00:10,,,,,
2018-01-26,07:47:51,16:38:48,8:50:56,,02:04:00,12:06:00,,13:58:00,109.43,12:06:00,16:38:48,4:32:48,12:06:00,16:38:48,4:32:48,02:04:00,07:47:51,5:43:52,,,,,
2018-01-27,07:46:31,16:40:34,8:54:03,,03:20:00,12:44:00,,14:36:00,123.43,12:44:00,16:40:34,3:56:34,12:44:00,16:40:34,3:56:34,03:20:00,07:46:31,4:26:32,,,,,
2018-01-28,07:45:09,16:42:21,8:57:12,,04:34:00,13:31:00,,15:03:00,136.43,13:31:00,16:42:21,3:11:21,13:31:00,16:42:21,3:11:21,04:34:00,07:45:09,3:11:09,,,,,
2018-01-29,07:43:44,16:44:08,9:00:24,,05:42:00,14:30:00,,15:12:00,150.43,14:30:00,16:44:08,2:14:08,14:30:00,16:44:08,2:14:08,05:42:00,07:43:44,2:01:44,,,,,
2018-01-30,07:42:17,16:45:56,9:03:39,,06:42:00,15:39:00,,15:03:00,164.43,15:39:00,16:45:56,1:06:56,15:39:00,16:45:56,1:06:56,06:42:00,07:42:17,1:00:17,,,,,
2018-01-31,07:40:48,16:47:44,9:06:56,,07:32:00,16:55:00,,14:37:00,178.43,,,0:00:00,,,0:00:00,07:32:00,16:55:00,0:16:04,,,,,
2018-02-01,07:39:16,16:49:33,9:10:16,,08:12:00,18:15:00,,13:57:00,192.43,07:39:16,08:12:00,0:32:43,07:39:16,08:12:00,0:32:43,16:49:33,18:15:00,1:25:27,,,,,
2018-02-02,07:37:43,16:51:22,9:13:38,,08:45:00,19:35:00,,13:10:00,205.43,07:37:43,08:45:00,1:07:16,07:37:43,08:45:00,1:07:16,16:51:22,19:35:00,2:43:38,,,,,
2018-02-03,07:36:08,16:53:11,9:17:03,,09:13:00,20:51:00,,12:22:00,219.43,07:36:08,09:13:00,1:36:51,07:36:08,09:13:00,1:36:51,16:53:11,20:51:00,3:57:49,,,,,
2018-02-04,07:34:31,16:55:00,9:20:29,,09:39:00,22:05:00,,11:34:00,232.43,07:34:31,09:39:00,2:04:28,07:34:31,09:39:00,2:04:28,16:55:00,22:05:00,5:09:59,,,,,
2018-02-05,07:32:52,16:56:50,9:23:58,,10:02:00,23:16:00,,10:46:00,244.43,07:32:52,10:02:00,2:29:07,07:32:52,10:02:00,2:29:07,16:56:50,23:16:00,6:19:09,,,,,
2018-02-06,07:31:12,16:58:40,9:27:28,,10:26:00,,,10:26:00,256.43,07:31:12,10:26:00,2:54:48,07:31:12,10:26:00,2:54:48,16:58:40,00:00:00,7:01:20,,,,,
2018-02-07,07:29:29,17:00:30,9:31:01,00:25:00,10:51:00,,,10:26:00,268.43,07:29:29,10:51:00,3:21:30,07:29:29,10:51:00,3:21:30,00:00:00,00:00:00,7:24:30,,,,,
2018-02-08,07:27:45,17:02:20,9:34:35,01:31:00,11:18:00,,,9:47:00,280.43,07:27:45,11:18:00,3:50:14,,,0:00:00,00:00:00,00:00:00,8:28:40,,,,,
2018-02-09,07:25:59,17:04:10,9:38:11,02:34:00,11:49:00,,,9:15:00,291.43,07:25:59,11:49:00,4:23:00,,,0:00:00,00:00:00,00:00:00,9:29:49,,,,,
2018-02-10,07:24:12,17:06:00,9:41:48,03:33:00,12:25:00,,,8:52:00,301.43,07:24:12,12:25:00,5:00:47,,,0:00:00,00:00:00,00:00:00,10:26:59,,,,,
2018-02-11,07:22:23,17:07:50,9:45:27,04:28:00,13:07:00,,,8:39:00,312.43,07:22:23,13:07:00,5:44:36,,,0:00:00,00:00:00,00:00:00,11:20:09,,,,,
2018-02-12,07:20:33,17:09:40,9:49:07,05:18:00,13:56:00,,,8:38:00,323.43,07:20:33,13:56:00,6:35:26,,,0:00:00,00:00:00,00:00:00,12:08:20,,,,,
2018-02-13,07:18:41,17:11:30,9:52:49,06:01:00,14:50:00,,,8:49:00,334.43,07:18:41,14:50:00,7:31:18,,,0:00:00,00:00:00,00:00:00,12:49:30,,,,,
2018-02-14,07:16:48,17:13:20,9:56:31,06:39:00,15:50:00,,,9:11:00,344.43,07:16:48,15:50:00,8:33:11,,,0:00:00,00:00:00,00:00:00,13:25:40,,,,,
2018-02-15,07:14:54,17:15:09,10:00:15,07:11:00,16:54:00,,,9:43:00,356.43,07:14:54,16:54:00,9:39:06,,,0:00:00,00:00:00,00:00:00,13:55:50,,,,,
2018-02-16,07:12:58,17:16:59,10:04:01,07:39:00,18:00:00,,,10:21:00,7.43,07:39:00,17:16:59,9:37:59,,,0:00:00,00:00:00,00:00:00,13:12:58,,,,,
2018-02-17,07:11:01,17:18:48,10:07:47,08:04:00,19:08:00,,,11:04:00,18.43,08:04:00,17:18:48,9:14:48,,,0:00:00,00:00:00,00:00:00,12:03:01,,,,,
