Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2000-01-01,,,0:00:00,,19:28:00,23:58:00,,19:30:00,,,0:00:00,19:28:00,23:58:00,4:30:00,,,,
2000-01-02,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-01-03,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-01-04,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-01-05,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-01-06,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-01-07,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-01-08,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-01-09,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-01-10,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-01-11,,,0:00:00,,,,,24:00:00,,,0:00:00,,,0:00:00,,,,
2000-01-12,,,0:00:00,,02:53:00,09:08:00,,17:45:00,,,0:00:00,02:53:00,09:08:00,6:15:00,,,,
2000-01-13,,,0:00:00,,01:59:00,,,1:59:00,,,0:00:00,01:59:00,00:00:00,22:01:00,,,,
2000-01-14,,,0:00:00,,01:16:00,14:10:00,,11:06:00,,,0:00:00,01:16:00,14:10:00,12:54:00,,,,
2000-01-15,,,0:00:00,16:50:00,23:38:00,,,6:48:00,,,0:00:00,00:00:00,00:00:00,17:12:00,,,,
2000-01-16,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
2000-01-17,,,0:00:00,,,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,
