Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2003-01-01,,,0:00:00,,,,,0:00:00,341.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-01-02,,,0:00:00,,,,,0:00:00,354.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-01-03,,,0:00:00,,,,,0:00:00,7.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-01-04,,,0:00:00,,,,,0:00:00,20.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-01-05,,,0:00:00,,,,,0:00:00,33.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-01-06,,,0:00:00,,,,,0:00:00,45.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-01-07,,,0:00:00,,,,,24:00:00,56.43,,,0:00:00,,,0:00:00,,,0:00:00,,,,,
2003-01-08,,,0:00:00,,04:01:00,08:36:00,,19:25:00,68.43,,,0:00:00,,,0:00:00,04:01:00,08:36:00,4:35:00,,,,,
2003-01-09,,,0:00:00,,02:31:00,,,2:31:00,79.43,,,0:00:00,,,0:00:00,02:31:00,00:00:00,21:29:00,,,,,
2003-01-10,,,0:00:00,,01:32:00,14:07:00,,11:25:00,90.43,,,0:00:00,,,0:00:00,01:32:00,14:07:00,12:35:00,,,,,
2003-01-11,,,0:00:00,16:45:00,23:26:00,,,6:41:00,100.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,17:19:00,,,,,
2003-01-12,,,0:00:00,,,,,0:00:00,111.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-01-13,,,0:00:00,,,,,0:00:00,122.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-01-14,,,0:00:00,,,,,0:00:00,133.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-01-15,,,0:00:00,,,,,0:00:00,144.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-01-16,,,0:00:00,,,,,0:00:00,156.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-01-17,,,0:00:00,,,,,0:00:00,168.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-01-18,,,0:00:00,,,,,0:00:00,180.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-01-19,,,0:00:00,,,,,0:00:00,193.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-01-20,,,0:00:00,,,,,0:00:00,205.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-01-21,,,0:00:00,,,,,0:00:00,218.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-01-22,,,0:00:00,04:06:00,06:20:00,,,2:14:00,231.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,21:46:00,,,,,
2003-01-23,,,0:00:00,01:48:00,,,,22:12:00,244.43,,,0:00:00,,,0:00:00,00:00:00,01:48:00,1:48:00,,,,,
2003-01-24,,,0:00:00,,13:33:00,23:31:00,,14:02:00,258.43,,,0:00:00,,,0:00:00,13:33:00,23:31:00,9:58:00,,,,,
2003-01-25,,,0:00:00,,17:00:00,21:54:00,,19:06:00,271.43,,,0:00:00,,,0:00:00,17:00:00,21:54:00,4:54:00,,,,,
2003-01-26,,,0:00:00,,,,,0:00:00,284.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-01-27,,,0:00:00,,,,,0:00:00,297.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-01-28,,,0:00:00,,,,,0:00:00,310.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-01-29,,,0:00:00,,,,,0:00:00,322.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-01-30,,,0:00:00,,,,,0:00:00,335.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-01-31,,,0:00:00,,,,,0:00:00,348.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-02-01,,,0:00:00,,,,,0:00:00,0.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-02-02,,,0:00:00,,,,,0:00:00,12.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-02-03,,,0:00:00,,,,,0:00:00,24.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,24:00:00,,,,,
2003-02-04,,,0:00:00,,,,,24:00:00,36.43,,,0:00:00,,,0:00:00,,,0:00:00,,,,,
2003-02-05,,,0:00:00,,01:11:00,08:41:00,,16:30:00,47.43,,,0:00:00,,,0:00:00,01:11:00,08:41:00,7:30:00,,,,,
2003-02-06,,,0:00:00,,23:08:00,,,23:08:00,58.43,,,0:00:00,,,0:00:00,23:08:00,00:00:00,0:52:00,,,,,
2003-02-07,,,0:00:00,13:53:00,22:05:00,,,8:12:00,69.43,,,0:00:00,,,0:00:00,00:00:00,00:00:00,15:48:00,,,,,
