Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Total-Moon-Visible-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Surya-Time,Chandra-Time,Agni-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days,Surya-Days,Chandra-Days,Agni-Days
2022-01-01,,,0:00:00,,,,,0:00:00,341.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-01-02,,,0:00:00,,,,,0:00:00,355.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-01-03,,,0:00:00,,,,,0:00:00,9.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-01-04,,,0:00:00,,,,,0:00:00,23.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-01-05,,,0:00:00,,,,,0:00:00,36.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-01-06,,,0:00:00,,,,,0:00:00,50.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-01-07,,,0:00:00,,,,,24:00:00,62.43,,,0:00:00,24:00:00,,,0:00:00,0:00:00,24:00:00,0:00:00,,,,,,,
2022-01-08,,,0:00:00,,02:55:00,,,2:55:00,75.43,,,0:00:00,2:55:00,02:55:00,00:00:00,21:05:00,0:00:00,2:55:00,21:05:00,,,,,,,
2022-01-09,,,0:00:00,,01:44:00,13:33:00,,12:11:00,87.43,,,0:00:00,12:11:00,01:44:00,13:33:00,11:49:00,0:00:00,12:11:00,11:49:00,,,,,,,
2022-01-10,,,0:00:00,16:20:00,23:32:00,,,7:12:00,98.43,,,0:00:00,7:12:00,00:00:00,00:00:00,16:48:00,0:00:00,7:12:00,16:48:00,,,,,,,
2022-01-11,,,0:00:00,,,,,0:00:00,110.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-01-12,,,0:00:00,,,,,0:00:00,121.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-01-13,,,0:00:00,,,,,0:00:00,131.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-01-14,,,0:00:00,,,,,0:00:00,142.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-01-15,,,0:00:00,,,,,0:00:00,153.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-01-16,,,0:00:00,,,,,0:00:00,164.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-01-17,,,0:00:00,,,,,0:00:00,174.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-01-18,,,0:00:00,,,,,0:00:00,186.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-01-19,,,0:00:00,,,,,0:00:00,197.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-01-20,,,0:00:00,,,,,0:00:00,208.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-01-21,,,0:00:00,,,,,0:00:00,220.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-01-22,,,0:00:00,03:31:00,06:58:00,,,3:27:00,232.43,,,0:00:00,3:27:00,00:00:00,00:00:00,20:33:00,0:00:00,3:27:00,20:33:00,,,,,,,
2022-01-23,,,0:00:00,01:40:00,,,,22:20:00,244.43,,,0:00:00,22:20:00,00:00:00,01:40:00,1:40:00,0:00:00,22:20:00,1:40:00,,,,,,,
2022-01-24,,,0:00:00,,13:20:00,23:27:00,,13:53:00,256.43,,,0:00:00,13:53:00,13:20:00,23:27:00,10:07:00,0:00:00,13:53:00,10:07:00,,,,,,,
2022-01-25,,,0:00:00,,16:36:00,21:56:00,,18:40:00,268.43,,,0:00:00,18:40:00,16:36:00,21:56:00,5:20:00,0:00:00,18:40:00,5:20:00,,,,,,,
2022-01-26,,,0:00:00,,,,,0:00:00,281.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-01-27,,,0:00:00,,,,,0:00:00,294.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-01-28,,,0:00:00,,,,,0:00:00,308.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-01-29,,,0:00:00,,,,,0:00:00,321.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-01-30,,,0:00:00,,,,,0:00:00,335.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-01-31,,,0:00:00,,,,,0:00:00,349.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-02-01,,,0:00:00,,,,,0:00:00,2.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-02-02,,,0:00:00,,,,,0:00:00,16.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-02-03,,,0:00:00,,,,,24:00:00,29.43,,,0:00:00,0:00:00,,,0:00:00,0:00:00,24:00:00,0:00:00,,,,,,,
2022-02-04,,,0:00:00,,01:54:00,07:19:00,,18:35:00,42.43,,,0:00:00,18:35:00,01:54:00,07:19:00,5:25:00,0:00:00,18:35:00,5:25:00,,,,,,,
2022-02-05,,,0:00:00,,23:18:00,,,23:18:00,54.43,,,0:00:00,23:18:00,23:18:00,00:00:00,0:42:00,0:00:00,23:18:00,0:42:00,,,,,,,
2022-02-06,,,0:00:00,13:22:00,22:12:00,,,8:50:00,66.43,,,0:00:00,8:50:00,00:00:00,00:00:00,15:10:00,0:00:00,8:50:00,15:10:00,,,,,,,
2022-02-07,,,0:00:00,16:44:00,20:26:00,,,3:42:00,78.43,,,0:00:00,3:42:00,00:00:00,00:00:00,20:18:00,0:00:00,3:42:00,20:18:00,,,,,,,
2022-02-08,,,0:00:00,,,,,0:00:00,89.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-02-09,,,0:00:00,,,,,0:00:00,100.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-02-10,,,0:00:00,,,,,0:00:00,111.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-02-11,,,0:00:00,,,,,0:00:00,122.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-02-12,,,0:00:00,,,,,0:00:00,133.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-02-13,,,0:00:00,,,,,0:00:00,143.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-02-14,,,0:00:00,,,,,0:00:00,154.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
2022-02-15,,,0:00:00,,,,,0:00:00,166.43,,,0:00:00,0:00:00,00:00:00,00:00:00,24:00:00,0:00:00,0:00:00,24:00:00,,,,,,,
