Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Total-Moon-Visible-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Surya-Time,Chandra-Time,Agni-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days,Surya-Days,Chandra-Days,Agni-Days
2000-01-01,07:20:19,16:38:39,9:18:20,02:32:00,13:33:00,,,11:01:00,303.43,07:20:19,13:33:00,6:12:41,11:01:00,00:00:00,00:00:00,9:53:21,0:00:00,11:01:00,9:53:21,,,,,,,
2000-01-02,07:20:26,16:39:29,9:19:04,03:30:00,14:05:00,,,10:35:00,314.43,07:20:26,14:05:00,6:44:34,10:35:00,00:00:00,00:00:00,10:50:30,0:00:00,10:35:00,10:50:30,,,,,,,
2000-01-03,07:20:30,16:40:21,9:19:51,04:27:00,14:39:00,,,10:12:00,325.43,07:20:30,14:39:00,7:18:29,10:12:00,00:00:00,00:00:00,11:46:38,0:00:00,10:12:00,11:46:38,,,,,,,
2000-01-04,07:20:33,16:41:15,9:20:42,05:23:00,15:18:00,,,9:55:00,336.43,07:20:33,15:18:00,7:57:27,0:00:00,00:00:00,00:00:00,12:41:45,9:20:42,9:55:00,12:41:45,,,,,,,
2000-01-05,07:20:33,16:42:09,9:21:37,06:16:00,16:02:00,,,9:46:00,346.43,07:20:33,16:02:00,8:41:27,0:00:00,00:00:00,00:00:00,13:33:50,9:21:37,9:46:00,13:33:50,,,,,,,
2000-01-06,07:20:30,16:43:06,9:22:35,07:07:00,16:51:00,,,9:44:00,357.43,07:20:30,16:43:06,9:22:35,0:00:00,00:00:00,00:00:00,14:16:00,9:22:35,9:44:00,14:16:00,,,,,,,
2000-01-07,07:20:26,16:44:03,9:23:38,07:53:00,17:44:00,,,9:51:00,8.43,07:53:00,16:44:03,8:51:04,0:00:00,00:00:00,00:00:00,13:36:26,9:23:38,9:51:00,13:36:26,,,,,,,
2000-01-08,07:20:19,16:45:02,9:24:43,08:35:00,18:40:00,,,10:05:00,19.43,08:35:00,16:45:02,8:10:03,0:00:00,00:00:00,00:00:00,12:40:20,9:24:43,10:05:00,12:40:20,,,,,,,
2000-01-09,07:20:10,16:46:02,9:25:52,09:12:00,,,,14:48:00,30.43,09:12:00,16:46:02,7:34:03,14:48:00,00:00:00,07:20:10,7:20:11,0:00:00,14:48:00,7:20:11,,,,,,,
2000-01-10,07:19:59,16:47:04,9:27:05,09:46:00,20:40:00,,,10:54:00,41.43,09:46:00,16:47:04,7:01:04,10:54:00,00:00:00,00:00:00,10:39:59,0:00:00,10:54:00,10:39:59,,,,,,,
2000-01-11,07:19:45,16:48:06,9:28:21,10:18:00,21:42:00,,,11:24:00,53.43,10:18:00,16:48:06,6:30:07,11:24:00,00:00:00,00:00:00,9:37:46,0:00:00,11:24:00,9:37:46,,,,,,,
2000-01-12,07:19:29,16:49:10,9:29:41,10:48:00,22:45:00,,,11:57:00,64.43,10:48:00,16:49:10,6:01:10,11:57:00,00:00:00,00:00:00,8:34:30,0:00:00,11:57:00,8:34:30,,,,,,,
