Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2012-01-01,07:20:18,16:38:42,9:18:24,,00:11:00,11:28:00,,12:43:00,93.43,11:28:00,16:38:42,5:10:42,11:28:00,16:38:42,5:10:42,00:11:00,07:20:18,7:09:18,,,,,
2012-01-02,07:20:24,16:39:32,9:19:08,,01:09:00,11:56:00,,13:13:00,104.43,11:56:00,16:39:32,4:43:33,11:56:00,16:39:32,4:43:33,01:09:00,07:20:24,6:11:25,,,,,
2012-01-03,07:20:28,16:40:24,9:19:56,,02:07:00,12:27:00,,13:40:00,114.43,12:27:00,16:40:24,4:13:25,12:27:00,16:40:24,4:13:25,02:07:00,07:20:28,5:13:29,,,,,
2012-01-04,07:20:31,16:41:18,9:20:47,,03:05:00,13:03:00,,14:02:00,125.43,13:03:00,16:41:18,3:38:19,13:03:00,16:41:18,3:38:19,03:05:00,07:20:31,4:15:31,,,,,
2012-01-05,07:20:30,16:42:13,9:21:43,,04:02:00,13:44:00,,14:18:00,136.43,13:44:00,16:42:13,2:58:14,13:44:00,16:42:13,2:58:14,04:02:00,07:20:30,3:18:31,,,,,
2012-01-06,07:20:28,16:43:09,9:22:42,,04:58:00,14:32:00,,14:26:00,147.43,14:32:00,16:43:09,2:11:10,14:32:00,16:43:09,2:11:10,04:58:00,07:20:28,2:22:28,,,,,
2012-01-07,07:20:23,16:44:07,9:23:44,,05:49:00,15:27:00,,14:22:00,158.43,15:27:00,16:44:07,1:17:08,15:27:00,16:44:07,1:17:08,05:49:00,07:20:23,1:31:24,,,,,
2012-01-08,07:20:16,16:45:06,9:24:50,,06:36:00,16:27:00,,14:09:00,170.43,16:27:00,16:45:06,0:18:07,16:27:00,16:45:06,0:18:07,06:36:00,07:20:16,0:44:17,,,,,
2012-01-09,07:20:07,16:46:07,9:26:00,,07:18:00,17:31:00,,13:47:00,182.43,,,0:00:00,,,0:00:00,07:18:00,17:31:00,0:47:00,,,,,
2012-01-10,07:19:55,16:47:08,9:27:13,,07:55:00,18:37:00,,13:18:00,194.43,07:19:55,07:55:00,0:35:04,07:19:55,07:55:00,0:35:04,16:47:08,18:37:00,1:49:51,,,,,
2012-01-11,07:19:42,16:48:11,9:28:29,,08:29:00,,,8:29:00,206.43,07:19:42,08:29:00,1:09:18,07:19:42,08:29:00,1:09:18,16:48:11,00:00:00,7:11:49,,,,,
2012-01-12,07:19:26,16:49:14,9:29:49,,09:00:00,20:54:00,,12:06:00,219.43,07:19:26,09:00:00,1:40:34,07:19:26,09:00:00,1:40:34,16:49:14,20:54:00,4:04:45,,,,,
2012-01-13,07:19:08,16:50:19,9:31:12,,09:30:00,22:02:00,,11:28:00,232.43,07:19:08,09:30:00,2:10:52,07:19:08,09:30:00,2:10:52,16:50:19,22:02:00,5:11:40,,,,,
2012-01-14,07:18:47,16:51:25,9:32:38,,10:00:00,23:12:00,,10:48:00,245.43,07:18:47,10:00:00,2:41:12,07:18:47,10:00:00,2:41:12,16:51:25,23:12:00,6:20:35,,,,,
2012-01-15,07:18:25,16:52:31,9:34:07,,10:31:00,,,10:31:00,257.43,07:18:25,10:31:00,3:12:35,07:18:25,10:31:00,3:12:35,16:52:31,00:00:00,7:07:28,,,,,
2012-01-16,07:18:00,16:53:39,9:35:39,00:22:00,11:06:00,,,10:44:00,270.43,07:18:00,11:06:00,3:48:00,,,0:00:00,00:00:00,00:00:00,7:28:21,,,,,
2012-01-17,07:17:33,16:54:47,9:37:14,01:33:00,11:46:00,,,10:13:00,284.43,07:17:33,11:46:00,4:28:27,,,0:00:00,00:00:00,00:00:00,8:38:13,,,,,
2012-01-18,07:17:04,16:55:56,9:38:52,02:44:00,12:32:00,,,9:48:00,297.43,07:17:04,12:32:00,5:14:56,,,0:00:00,00:00:00,00:00:00,9:48:04,,,,,
2012-01-19,07:16:33,16:57:06,9:40:33,03:50:00,13:26:00,,,9:36:00,310.43,07:16:33,13:26:00,6:09:27,,,0:00:00,00:00:00,00:00:00,10:52:54,,,,,
2012-01-20,07:15:59,16:58:16,9:42:17,04:51:00,14:26:00,,,9:35:00,323.43,07:15:59,14:26:00,7:10:00,,,0:00:00,00:00:00,00:00:00,11:52:44,,,,,
2012-01-21,07:15:24,16:59:27,9:44:03,05:44:00,15:32:00,,,9:48:00,336.43,07:15:24,15:32:00,8:16:36,,,0:00:00,00:00:00,00:00:00,12:44:33,,,,,
2012-01-22,07:14:46,17:00:38,9:45:52,06:29:00,16:40:00,,,10:11:00,349.43,07:14:46,16:40:00,9:25:13,,,0:00:00,00:00:00,00:00:00,13:28:21,,,,,
2012-01-23,07:14:07,17:01:50,9:47:43,07:08:00,17:47:00,,,10:39:00,2.43,07:14:07,17:01:50,9:47:43,,,0:00:00,00:00:00,00:00:00,13:21:00,,,,,
2012-01-24,07:13:26,17:03:02,9:49:37,07:41:00,18:53:00,,,11:12:00,14.43,07:41:00,17:03:02,9:22:03,,,0:00:00,00:00:00,00:00:00,12:20:26,,,,,
2012-01-25,07:12:42,17:04:15,9:51:33,08:10:00,,,,15:50:00,26.43,08:10:00,17:04:15,8:54:15,,,0:00:00,00:00:00,07:12:42,7:12:43,,,,,
