Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2018-01-01,07:20:20,16:39:09,9:18:48,,06:32:00,16:34:00,,13:58:00,16:34:00,16:39:09,0:05:09,06:32:00,07:20:20,0:48:21,,,,
2018-01-02,07:20:26,16:40:00,9:19:34,,07:36:00,17:41:00,,13:55:00,07:20:26,07:36:00,0:15:34,16:40:00,17:41:00,1:01:00,,,,
2018-01-03,07:20:29,16:40:53,9:20:24,,08:32:00,18:52:00,,13:40:00,07:20:29,08:32:00,1:11:31,16:40:53,18:52:00,2:11:07,,,,
2018-01-04,07:20:30,16:41:47,9:21:18,,09:20:00,,,9:20:00,07:20:30,09:20:00,1:59:30,16:41:47,00:00:00,7:18:12,,,,
2018-01-05,07:20:28,16:42:43,9:22:15,,10:01:00,21:13:00,,12:48:00,07:20:28,10:01:00,2:40:31,16:42:43,21:13:00,4:30:17,,,,
2018-01-06,07:20:25,16:43:40,9:23:16,,10:37:00,22:20:00,,12:17:00,07:20:25,10:37:00,3:16:35,16:43:40,22:20:00,5:36:19,,,,
2018-01-07,07:20:19,16:44:38,9:24:20,,11:10:00,23:24:00,,11:46:00,07:20:19,11:10:00,3:49:41,16:44:38,23:24:00,6:39:21,,,,
2018-01-08,07:20:10,16:45:38,9:25:28,,11:40:00,,,11:40:00,07:20:10,11:40:00,4:19:49,16:45:38,00:00:00,7:14:21,,,,
2018-01-09,07:20:00,16:46:39,9:26:39,00:26:00,12:10:00,,,11:44:00,07:20:00,12:10:00,4:50:00,00:00:00,00:00:00,7:39:20,,,,
2018-01-10,07:19:47,16:47:41,9:27:54,01:26:00,12:40:00,,,11:14:00,07:19:47,12:40:00,5:20:12,00:00:00,00:00:00,8:38:18,,,,
2018-01-11,07:19:32,16:48:44,9:29:12,02:25:00,13:12:00,,,10:47:00,07:19:32,13:12:00,5:52:27,00:00:00,00:00:00,9:36:15,,,,
2018-01-12,07:19:15,16:49:49,9:30:34,03:22:00,13:47:00,,,10:25:00,07:19:15,13:47:00,6:27:44,00:00:00,00:00:00,10:32:11,,,,
2018-01-13,07:18:56,16:50:54,9:31:58,04:18:00,14:25:00,,,10:07:00,07:18:56,14:25:00,7:06:04,00:00:00,00:00:00,11:27:06,,,,
2018-01-14,07:18:34,16:52:00,9:33:26,05:12:00,15:07:00,,,9:55:00,07:18:34,15:07:00,7:48:25,00:00:00,00:00:00,12:19:59,,,,
2018-01-15,07:18:10,16:53:07,9:34:57,06:03:00,15:54:00,,,9:51:00,07:18:10,15:54:00,8:35:49,00:00:00,00:00:00,13:09:52,,,,
2018-01-16,07:17:44,16:54:15,9:36:30,06:49:00,16:45:00,,,9:56:00,07:17:44,16:45:00,9:27:15,00:00:00,00:00:00,13:54:45,,,,
2018-01-17,07:17:16,16:55:23,9:38:07,07:32:00,17:39:00,,,10:07:00,07:32:00,16:55:23,9:23:24,00:00:00,00:00:00,13:38:17,,,,
2018-01-18,07:16:46,16:56:33,9:39:47,08:11:00,18:35:00,,,10:24:00,08:11:00,16:56:33,8:45:33,00:00:00,00:00:00,12:41:47,,,,
2018-01-19,07:16:14,16:57:43,9:41:29,08:46:00,,,,15:14:00,08:46:00,16:57:43,8:11:43,00:00:00,07:16:14,7:16:14,,,,
2018-01-20,07:15:39,16:58:53,9:43:14,09:19:00,20:33:00,,,11:14:00,09:19:00,16:58:53,7:39:54,00:00:00,00:00:00,10:42:40,,,,
2018-01-21,07:15:03,17:00:04,9:45:01,09:49:00,21:34:00,,,11:45:00,09:49:00,17:00:04,7:11:05,00:00:00,00:00:00,9:41:03,,,,
2018-01-22,07:14:24,17:01:16,9:46:52,10:19:00,22:35:00,,,12:16:00,10:19:00,17:01:16,6:42:17,00:00:00,00:00:00,8:39:25,,,,
2018-01-23,07:13:44,17:02:28,9:48:44,10:49:00,23:39:00,,,12:50:00,10:49:00,17:02:28,6:13:29,00:00:00,00:00:00,7:34:44,,,,
2018-01-24,07:13:01,17:03:41,9:50:39,11:21:00,,,,12:39:00,11:21:00,17:03:41,5:42:41,00:00:00,07:13:01,7:13:02,,,,
2018-01-25,07:12:17,17:04:53,9:52:36,,00:44:00,11:56:00,,12:48:00,11:56:00,17:04:53,5:08:54,00:44:00,07:12:17,6:28:17,,,,
2018-01-26,07:11:31,17:06:07,9:54:36,,01:51:00,12:35:00,,13:16:00,12:35:00,17:06:07,4:31:07,01:51:00,07:11:31,5:20:31,,,,
2018-01-27,07:10:42,17:07:20,9:56:38,,03:00:00,13:21:00,,13:39:00,13:21:00,17:07:20,3:46:20,03:00:00,07:10:42,4:10:43,,,,
2018-01-28,07:09:52,17:08:34,9:58:41,,04:08:00,14:14:00,,13:54:00,14:14:00,17:08:34,2:54:34,04:08:00,07:09:52,3:01:53,,,,
2018-01-29,07:09:00,17:09:47,10:00:47,,05:14:00,15:16:00,,13:58:00,15:16:00,17:09:47,1:53:48,05:14:00,07:09:00,1:55:01,,,,
2018-01-30,07:08:07,17:11:01,10:02:55,,06:14:00,16:24:00,,13:50:00,16:24:00,17:11:01,0:47:02,06:14:00,07:08:07,0:54:07,,,,
2018-01-31,07:07:11,17:12:16,10:05:05,,07:06:00,17:36:00,,13:30:00,,,0:00:00,07:06:00,17:36:00,0:24:55,,,,
2018-02-01,07:06:14,17:13:30,10:07:16,,07:52:00,18:48:00,,13:04:00,07:06:14,07:52:00,0:45:46,17:13:30,18:48:00,1:34:30,,,,
2018-02-02,07:05:15,17:14:44,10:09:29,,08:31:00,,,8:31:00,07:05:15,08:31:00,1:25:45,17:14:44,00:00:00,6:45:16,,,,
2018-02-03,07:04:14,17:15:58,10:11:44,,09:06:00,21:06:00,,12:00:00,07:04:14,09:06:00,2:01:45,17:15:58,21:06:00,3:50:01,,,,
2018-02-04,07:03:12,17:17:12,10:14:00,,09:39:00,22:12:00,,11:27:00,07:03:12,09:39:00,2:35:48,17:17:12,22:12:00,4:54:47,,,,
2018-02-05,07:02:08,17:18:27,10:16:18,,10:10:00,23:15:00,,10:55:00,07:02:08,10:10:00,3:07:51,17:18:27,23:15:00,5:56:33,,,,
2018-02-06,07:01:03,17:19:41,10:18:38,,10:41:00,,,10:41:00,07:01:03,10:41:00,3:39:57,17:19:41,00:00:00,6:40:19,,,,
2018-02-07,06:59:56,17:20:55,10:20:59,00:15:00,11:13:00,,,10:58:00,06:59:56,11:13:00,4:13:04,00:00:00,00:00:00,6:54:05,,,,
2018-02-08,06:58:47,17:22:08,10:23:21,01:14:00,11:47:00,,,10:33:00,06:58:47,11:47:00,4:48:12,00:00:00,00:00:00,7:51:51,,,,
2018-02-09,06:57:37,17:23:22,10:25:45,02:11:00,12:24:00,,,10:13:00,06:57:37,12:24:00,5:26:22,00:00:00,00:00:00,8:47:37,,,,
2018-02-10,06:56:26,17:24:36,10:28:10,03:06:00,13:04:00,,,9:58:00,06:56:26,13:04:00,6:07:33,00:00:00,00:00:00,9:41:24,,,,
2018-02-11,06:55:13,17:25:49,10:30:36,03:57:00,13:50:00,,,9:53:00,06:55:13,13:50:00,6:54:46,00:00:00,00:00:00,10:31:10,,,,
2018-02-12,06:53:59,17:27:02,10:33:03,04:46:00,14:39:00,,,9:53:00,06:53:59,14:39:00,7:45:00,00:00:00,00:00:00,11:18:57,,,,
