Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2003-01-01,06:23:22,19:56:33,13:33:12,04:57:00,19:02:00,,,14:05:00,06:23:22,19:02:00,12:38:38,00:00:00,00:00:00,9:00:26,,,,
2003-01-02,06:24:01,19:56:50,13:32:49,05:54:00,20:03:00,,,14:09:00,06:24:01,19:56:50,13:32:49,00:00:00,00:00:00,9:51:00,,,,
2003-01-03,06:24:40,19:57:06,13:32:25,06:55:00,20:59:00,,,14:04:00,06:55:00,19:57:06,13:02:06,00:00:00,00:00:00,9:25:41,,,,
2003-01-04,06:25:21,19:57:20,13:31:59,07:56:00,21:49:00,,,13:53:00,07:56:00,19:57:20,12:01:20,00:00:00,00:00:00,8:36:21,,,,
2003-01-05,06:26:01,19:57:32,13:31:31,08:56:00,,,,15:04:00,08:56:00,19:57:32,11:01:33,00:00:00,06:26:01,6:26:02,,,,
2003-01-06,06:26:42,19:57:44,13:31:01,09:54:00,23:10:00,,,13:16:00,09:54:00,19:57:44,10:03:44,00:00:00,00:00:00,7:16:43,,,,
2003-01-07,06:27:24,19:57:54,13:30:30,10:48:00,23:44:00,,,12:56:00,10:48:00,19:57:54,9:09:54,00:00:00,00:00:00,6:43:25,,,,
2003-01-08,06:28:06,19:58:03,13:29:56,11:40:00,,,,12:20:00,11:40:00,19:58:03,8:18:03,00:00:00,06:28:06,6:28:07,,,,
2003-01-09,06:28:49,19:58:10,13:29:21,,00:16:00,12:30:00,,11:46:00,12:30:00,19:58:10,7:28:10,00:16:00,06:28:49,6:12:49,,,,
2003-01-10,06:29:31,19:58:16,13:28:44,,00:46:00,13:19:00,,11:27:00,13:19:00,19:58:16,6:39:16,00:46:00,06:29:31,5:43:32,,,,
2003-01-11,06:30:15,19:58:20,13:28:06,,01:17:00,14:09:00,,11:08:00,14:09:00,19:58:20,5:49:21,01:17:00,06:30:15,5:13:15,,,,
2003-01-12,06:30:58,19:58:23,13:27:25,,01:49:00,15:00:00,,10:49:00,15:00:00,19:58:23,4:58:24,01:49:00,06:30:58,4:41:58,,,,
2003-01-13,06:31:42,19:58:25,13:26:43,,02:23:00,15:53:00,,10:30:00,15:53:00,19:58:25,4:05:26,02:23:00,06:31:42,4:08:42,,,,
2003-01-14,06:32:25,19:58:25,13:26:00,,03:02:00,16:49:00,,10:13:00,16:49:00,19:58:25,3:09:26,03:02:00,06:32:25,3:30:26,,,,
2003-01-15,06:33:09,19:58:24,13:25:15,,03:45:00,17:46:00,,9:59:00,17:46:00,19:58:24,2:12:25,03:45:00,06:33:09,2:48:10,,,,
2003-01-16,06:33:53,19:58:21,13:24:28,,04:34:00,18:43:00,,9:51:00,18:43:00,19:58:21,1:15:22,04:34:00,06:33:53,1:59:54,,,,
2003-01-17,06:34:38,19:58:17,13:23:40,,05:28:00,19:39:00,,9:49:00,19:39:00,19:58:17,0:19:18,05:28:00,06:34:38,1:06:38,,,,
2003-01-18,06:35:22,19:58:12,13:22:50,,06:28:00,20:31:00,,9:57:00,,,0:00:00,06:28:00,20:31:00,0:40:10,,,,
2003-01-19,06:36:06,19:58:05,13:21:59,,07:30:00,21:19:00,,10:11:00,06:36:06,07:30:00,0:53:53,19:58:05,21:19:00,1:20:55,,,,
2003-01-20,06:36:50,19:57:57,13:21:06,,08:33:00,,,8:33:00,06:36:50,08:33:00,1:56:09,19:57:57,00:00:00,4:02:03,,,,
2003-01-21,06:37:34,19:57:47,13:20:12,,09:36:00,22:43:00,,10:53:00,06:37:34,09:36:00,2:58:25,19:57:47,22:43:00,2:45:13,,,,
2003-01-22,06:38:18,19:57:36,13:19:17,,10:37:00,23:21:00,,11:16:00,06:38:18,10:37:00,3:58:41,19:57:36,23:21:00,3:23:24,,,,
2003-01-23,06:39:02,19:57:23,13:18:21,,11:38:00,23:58:00,,11:40:00,06:39:02,11:38:00,4:58:57,19:57:23,23:58:00,4:00:37,,,,
2003-01-24,06:39:46,19:57:09,13:17:23,,12:38:00,,,12:38:00,06:39:46,12:38:00,5:58:13,19:57:09,00:00:00,4:02:51,,,,
2003-01-25,06:40:30,19:56:54,13:16:24,00:37:00,13:39:00,,,13:02:00,06:40:30,13:39:00,6:58:30,00:00:00,00:00:00,4:40:06,,,,
2003-01-26,06:41:13,19:56:37,13:15:24,01:17:00,14:42:00,,,13:25:00,06:41:13,14:42:00,8:00:46,00:00:00,00:00:00,5:20:23,,,,
2003-01-27,06:41:56,19:56:19,13:14:22,02:01:00,15:46:00,,,13:45:00,06:41:56,15:46:00,9:04:03,00:00:00,00:00:00,6:04:41,,,,
2003-01-28,06:42:39,19:55:59,13:13:20,02:49:00,16:49:00,,,14:00:00,06:42:39,16:49:00,10:06:20,00:00:00,00:00:00,6:53:00,,,,
2003-01-29,06:43:22,19:55:38,13:12:16,03:43:00,17:51:00,,,14:08:00,06:43:22,17:51:00,11:07:38,00:00:00,00:00:00,7:47:21,,,,
2003-01-30,06:44:04,19:55:16,13:11:12,04:41:00,18:48:00,,,14:07:00,06:44:04,18:48:00,12:03:55,00:00:00,00:00:00,8:45:44,,,,
2003-01-31,06:44:46,19:54:52,13:10:06,05:41:00,19:40:00,,,13:59:00,06:44:46,19:40:00,12:55:13,00:00:00,00:00:00,9:46:07,,,,
2003-02-01,06:45:28,19:54:28,13:08:59,06:42:00,20:25:00,,,13:43:00,06:45:28,19:54:28,13:08:59,00:00:00,00:00:00,10:17:00,,,,
2003-02-02,06:46:10,19:54:01,13:07:52,07:40:00,21:05:00,,,13:25:00,07:40:00,19:54:01,12:14:02,00:00:00,00:00:00,9:41:10,,,,
2003-02-03,06:46:51,19:53:34,13:06:43,08:36:00,21:41:00,,,13:05:00,08:36:00,19:53:34,11:17:35,00:00:00,00:00:00,9:05:51,,,,
