Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Total-Moon-Visible-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Surya-Time,Chandra-Time,Agni-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days,Surya-Days,Chandra-Days,Agni-Days
2013-01-01,06:23:43,19:56:41,13:32:58,,09:57:00,22:45:00,,11:12:00,225.43,06:23:43,09:57:00,3:33:16,11:12:00,19:56:41,22:45:00,2:48:18,2:20:58,11:12:00,2:48:18,,,,,,,
2013-01-02,06:24:23,19:56:57,13:32:35,,10:51:00,23:22:00,,11:29:00,237.43,06:24:23,10:51:00,4:26:37,11:29:00,19:56:57,23:22:00,3:25:02,2:03:35,11:29:00,3:25:02,,,,,,,
2013-01-03,06:25:02,19:57:12,13:32:09,,11:45:00,,,11:45:00,249.43,06:25:02,11:45:00,5:19:57,11:45:00,19:57:12,00:00:00,4:02:48,1:47:09,11:45:00,4:02:48,,,,,,,
2013-01-04,06:25:43,19:57:25,13:31:42,,12:41:00,,,12:41:00,261.43,06:25:43,12:41:00,6:15:17,12:41:00,19:57:25,00:00:00,4:02:34,0:50:42,12:41:00,4:02:34,,,,,,,
2013-01-05,06:26:24,19:57:37,13:31:13,00:40:00,13:39:00,,,12:59:00,274.43,06:26:24,13:39:00,7:12:36,12:59:00,00:00:00,00:00:00,4:42:22,0:32:13,12:59:00,4:42:22,,,,,,,
2013-01-06,06:27:05,19:57:48,13:30:42,01:23:00,14:40:00,,,13:17:00,286.43,06:27:05,14:40:00,8:12:54,13:17:00,00:00:00,00:00:00,5:25:12,0:13:42,13:17:00,5:25:12,,,,,,,
2013-01-07,06:27:47,19:57:57,13:30:10,02:10:00,15:43:00,,,13:33:00,299.43,06:27:47,15:43:00,9:15:12,13:33:00,00:00:00,00:00:00,6:12:02,0:00:00,13:33:00,6:12:02,,,,,,,
2013-01-08,06:28:30,19:58:05,13:29:35,03:03:00,16:47:00,,,13:44:00,313.43,06:28:30,16:47:00,10:18:30,13:44:00,00:00:00,00:00:00,7:04:55,0:00:00,13:44:00,7:04:55,,,,,,,
2013-01-09,06:29:12,19:58:11,13:28:59,04:02:00,17:51:00,,,13:49:00,326.43,06:29:12,17:51:00,11:21:47,13:49:00,00:00:00,00:00:00,8:03:48,0:00:00,13:49:00,8:03:48,,,,,,,
2013-01-10,06:29:55,19:58:17,13:28:21,05:05:00,18:51:00,,,13:46:00,340.43,06:29:55,18:51:00,12:21:04,0:00:00,00:00:00,00:00:00,9:06:43,13:28:21,13:46:00,9:06:43,,,,,,,
2013-01-11,06:30:39,19:58:20,13:27:42,06:11:00,19:47:00,,,13:36:00,354.43,06:30:39,19:47:00,13:16:21,0:00:00,00:00:00,00:00:00,10:12:39,13:27:42,13:36:00,10:12:39,,,,,,,
2013-01-12,06:31:22,19:58:22,13:27:00,07:17:00,20:37:00,,,13:20:00,8.43,07:17:00,19:58:22,12:41:23,0:00:00,00:00:00,00:00:00,9:54:23,13:27:00,13:20:00,9:54:23,,,,,,,
2013-01-13,06:32:06,19:58:23,13:26:18,08:21:00,21:23:00,,,13:02:00,22.43,08:21:00,19:58:23,11:37:24,0:00:00,00:00:00,00:00:00,9:09:06,13:26:18,13:02:00,9:09:06,,,,,,,
2013-01-14,06:32:50,19:58:23,13:25:33,09:22:00,,,,14:38:00,35.43,09:22:00,19:58:23,10:36:23,14:38:00,00:00:00,06:32:50,6:32:50,0:00:00,14:38:00,6:32:50,,,,,,,
2013-01-15,06:33:34,19:58:21,13:24:47,10:20:00,22:44:00,,,12:24:00,48.43,10:20:00,19:58:21,9:38:21,12:24:00,00:00:00,00:00:00,7:49:34,1:00:47,12:24:00,7:49:34,,,,,,,
2013-01-16,06:34:18,19:58:17,13:23:59,11:16:00,23:22:00,,,12:06:00,61.43,11:16:00,19:58:17,8:42:18,12:06:00,00:00:00,00:00:00,7:12:18,1:17:59,12:06:00,7:12:18,,,,,,,
