Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2022-01-01,05:23:35,18:56:37,13:33:03,03:53:00,18:03:00,,,14:10:00,341.43,05:23:35,18:03:00,12:39:25,,,0:00:00,00:00:00,00:00:00,8:56:22,,,,,
2022-01-02,05:24:14,18:56:53,13:32:40,04:55:00,19:10:00,,,14:15:00,355.43,05:24:14,18:56:53,13:32:40,,,0:00:00,00:00:00,00:00:00,9:45:00,,,,,
2022-01-03,05:24:54,18:57:08,13:32:15,06:03:00,20:11:00,,,14:08:00,9.43,06:03:00,18:57:08,12:54:09,,,0:00:00,00:00:00,00:00:00,9:13:54,,,,,
2022-01-04,05:25:34,18:57:22,13:31:48,07:12:00,,,,16:48:00,23.43,07:12:00,18:57:22,11:45:22,,,0:00:00,00:00:00,05:25:34,5:25:34,,,,,
2022-01-05,05:26:15,18:57:34,13:31:19,08:19:00,21:50:00,,,13:31:00,36.43,08:19:00,18:57:34,10:38:35,,,0:00:00,00:00:00,00:00:00,7:36:15,,,,,
2022-01-06,05:26:56,18:57:45,13:30:49,09:21:00,22:29:00,,,13:08:00,50.43,09:21:00,18:57:45,9:36:46,,,0:00:00,00:00:00,00:00:00,6:57:57,,,,,
2022-01-07,05:27:38,18:57:55,13:30:17,10:20:00,23:04:00,,,12:44:00,62.43,10:20:00,18:57:55,8:37:55,,,0:00:00,00:00:00,00:00:00,6:23:38,,,,,
2022-01-08,05:28:20,18:58:03,13:29:43,11:15:00,23:38:00,,,12:23:00,75.43,11:15:00,18:58:03,7:43:03,,,0:00:00,00:00:00,00:00:00,5:50:21,,,,,
2022-01-09,05:29:03,18:58:10,13:29:07,12:08:00,,,,11:52:00,87.43,12:08:00,18:58:10,6:50:10,,,0:00:00,00:00:00,05:29:03,5:29:03,,,,,
2022-01-10,05:29:46,18:58:15,13:28:29,,00:10:00,13:00:00,,11:10:00,98.43,13:00:00,18:58:15,5:58:15,13:00:00,18:58:15,5:58:15,00:10:00,05:29:46,5:19:46,,,,,
2022-01-11,05:30:29,18:58:19,13:27:50,,00:42:00,13:52:00,,10:50:00,110.43,13:52:00,18:58:19,5:06:19,13:52:00,18:58:19,5:06:19,00:42:00,05:30:29,4:48:29,,,,,
2022-01-12,05:31:12,18:58:21,13:27:09,,01:16:00,14:45:00,,10:31:00,121.43,14:45:00,18:58:21,4:13:22,14:45:00,18:58:21,4:13:22,01:16:00,05:31:12,4:15:13,,,,,
2022-01-13,05:31:56,18:58:22,13:26:26,,01:53:00,15:38:00,,10:15:00,131.43,15:38:00,18:58:22,3:20:23,15:38:00,18:58:22,3:20:23,01:53:00,05:31:56,3:38:57,,,,,
2022-01-14,05:32:40,18:58:22,13:25:42,,02:33:00,16:32:00,,10:01:00,142.43,16:32:00,18:58:22,2:26:23,16:32:00,18:58:22,2:26:23,02:33:00,05:32:40,2:59:41,,,,,
2022-01-15,05:33:24,18:58:20,13:24:56,,03:18:00,17:25:00,,9:53:00,153.43,17:25:00,18:58:20,1:33:21,17:25:00,18:58:20,1:33:21,03:18:00,05:33:24,2:15:25,,,,,
2022-01-16,05:34:08,18:58:17,13:24:09,,04:06:00,18:16:00,,9:50:00,164.43,18:16:00,18:58:17,0:42:18,18:16:00,18:58:17,0:42:18,04:06:00,05:34:08,1:28:09,,,,,
2022-01-17,05:34:52,18:58:13,13:23:20,,04:59:00,19:04:00,,9:55:00,174.43,,,0:00:00,,,0:00:00,04:59:00,19:04:00,0:41:40,,,,,
