Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2006-01-01,05:47:40,20:09:11,14:21:31,06:23:00,21:32:00,,,15:09:00,06:23:00,20:09:11,13:46:11,00:00:00,00:00:00,8:15:40,,,,
2006-01-02,05:48:25,20:09:21,14:20:57,07:39:00,22:16:00,,,14:37:00,07:39:00,20:09:21,12:30:22,00:00:00,00:00:00,7:32:25,,,,
2006-01-03,05:49:11,20:09:30,14:20:20,08:54:00,22:54:00,,,14:00:00,08:54:00,20:09:30,11:15:31,00:00:00,00:00:00,6:55:11,,,,
2006-01-04,05:49:58,20:09:37,14:19:40,,23:26:00,,,23:26:00,05:49:58,20:09:37,14:19:40,23:26:00,00:00:00,0:34:00,,,,
2006-01-05,05:50:46,20:09:43,14:18:57,11:16:00,23:55:00,,,12:39:00,11:16:00,20:09:43,8:53:43,00:00:00,00:00:00,5:55:46,,,,
2006-01-06,05:51:35,20:09:46,14:18:11,12:23:00,,,,11:37:00,12:23:00,20:09:46,7:46:46,00:00:00,05:51:35,5:51:36,,,,
2006-01-07,05:52:25,20:09:47,14:17:22,,00:23:00,13:29:00,,10:54:00,13:29:00,20:09:47,6:40:48,00:23:00,05:52:25,5:29:26,,,,
2006-01-08,05:53:17,20:09:47,14:16:30,,00:52:00,14:34:00,,10:18:00,14:34:00,20:09:47,5:35:47,00:52:00,05:53:17,5:01:17,,,,
2006-01-09,05:54:09,20:09:44,14:15:36,,01:23:00,15:40:00,,9:43:00,15:40:00,20:09:44,4:29:45,01:23:00,05:54:09,4:31:09,,,,
2006-01-10,05:55:02,20:09:40,14:14:38,,01:57:00,16:45:00,,9:12:00,16:45:00,20:09:40,3:24:41,01:57:00,05:55:02,3:58:02,,,,
2006-01-11,05:55:55,20:09:34,14:13:39,,02:37:00,17:48:00,,8:49:00,17:48:00,20:09:34,2:21:35,02:37:00,05:55:55,3:18:56,,,,
2006-01-12,05:56:50,20:09:26,14:12:36,,03:24:00,18:47:00,,8:37:00,18:47:00,20:09:26,1:22:27,03:24:00,05:56:50,2:32:50,,,,
2006-01-13,05:57:45,20:09:16,14:11:31,,04:16:00,19:39:00,,8:37:00,19:39:00,20:09:16,0:30:17,04:16:00,05:57:45,1:41:46,,,,
2006-01-14,05:58:41,20:09:04,14:10:23,,05:13:00,20:24:00,,8:49:00,,,0:00:00,05:13:00,20:24:00,1:00:37,,,,
2006-01-15,05:59:37,20:08:51,14:09:13,,06:13:00,21:02:00,,9:11:00,05:59:37,06:13:00,0:13:22,20:08:51,21:02:00,0:53:09,,,,
