Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2011-01-01,05:47:30,20:09:07,14:21:36,02:38:00,17:20:00,,,14:42:00,324.43,05:47:30,17:20:00,11:32:29,,,0:00:00,00:00:00,00:00:00,6:28:53,,,,,
2011-01-02,05:48:15,20:09:18,14:21:03,03:28:00,18:20:00,,,14:52:00,337.43,05:48:15,18:20:00,12:31:45,,,0:00:00,00:00:00,00:00:00,7:18:42,,,,,
2011-01-03,05:49:01,20:09:27,14:20:26,04:24:00,19:14:00,,,14:50:00,349.43,05:49:01,19:14:00,13:24:59,,,0:00:00,00:00:00,00:00:00,8:14:32,,,,,
2011-01-04,05:49:48,20:09:35,14:19:47,05:23:00,20:01:00,,,14:38:00,1.43,05:49:48,20:01:00,14:11:12,,,0:00:00,00:00:00,00:00:00,9:13:25,,,,,
2011-01-05,05:50:36,20:09:40,14:19:05,06:23:00,20:41:00,,,14:18:00,13.43,06:23:00,20:09:40,13:46:41,,,0:00:00,00:00:00,00:00:00,9:09:36,,,,,
2011-01-06,05:51:25,20:09:44,14:18:19,07:23:00,21:17:00,,,13:54:00,25.43,07:23:00,20:09:44,12:46:44,,,0:00:00,00:00:00,00:00:00,8:34:25,,,,,
2011-01-07,05:52:15,20:09:46,14:17:31,08:22:00,21:48:00,,,13:26:00,36.43,08:22:00,20:09:46,11:47:46,,,0:00:00,00:00:00,00:00:00,8:04:15,,,,,
2011-01-08,05:53:06,20:09:45,14:16:40,09:18:00,22:17:00,,,12:59:00,47.43,09:18:00,20:09:45,10:51:46,,,0:00:00,00:00:00,00:00:00,7:36:06,,,,,
2011-01-09,05:53:57,20:09:44,14:15:46,,22:44:00,,,22:44:00,58.43,05:53:57,20:09:44,14:15:46,,,0:00:00,22:44:00,00:00:00,1:16:00,,,,,
2011-01-10,05:54:50,20:09:40,14:14:49,11:08:00,23:10:00,,,12:02:00,69.43,11:08:00,20:09:40,9:01:40,,,0:00:00,00:00:00,00:00:00,6:44:51,,,,,
2011-01-11,05:55:44,20:09:34,14:13:50,12:02:00,23:38:00,,,11:36:00,79.43,12:02:00,20:09:34,8:07:34,,,0:00:00,00:00:00,00:00:00,6:17:44,,,,,
2011-01-12,05:56:38,20:09:26,14:12:48,12:57:00,,,,11:03:00,90.43,12:57:00,20:09:26,7:12:27,12:57:00,20:09:26,7:12:27,00:00:00,05:56:38,5:56:39,,,,,
2011-01-13,05:57:33,20:09:17,14:11:44,,00:07:00,13:54:00,,10:13:00,101.43,13:54:00,20:09:17,6:15:17,13:54:00,20:09:17,6:15:17,00:07:00,05:57:33,5:50:34,,,,,
2011-01-14,05:58:29,20:09:06,14:10:37,,00:40:00,14:52:00,,9:48:00,112.43,14:52:00,20:09:06,5:17:06,14:52:00,20:09:06,5:17:06,00:40:00,05:58:29,5:18:29,,,,,
2011-01-15,05:59:25,20:08:52,14:09:27,,01:18:00,15:52:00,,9:26:00,124.43,15:52:00,20:08:52,4:16:53,15:52:00,20:08:52,4:16:53,01:18:00,05:59:25,4:41:26,,,,,
2011-01-16,06:00:22,20:08:37,14:08:15,,02:02:00,16:51:00,,9:11:00,136.43,16:51:00,20:08:37,3:17:38,16:51:00,20:08:37,3:17:38,02:02:00,06:00:22,3:58:23,,,,,
2011-01-17,06:01:20,20:08:20,14:07:01,,02:53:00,17:49:00,,9:04:00,148.43,17:49:00,20:08:20,2:19:21,17:49:00,20:08:20,2:19:21,02:53:00,06:01:20,3:08:20,,,,,
2011-01-18,06:02:17,20:08:02,14:05:44,,03:52:00,18:43:00,,9:09:00,161.43,18:43:00,20:08:02,1:25:02,18:43:00,20:08:02,1:25:02,03:52:00,06:02:17,2:10:18,,,,,
2011-01-19,06:03:16,20:07:41,14:04:25,,04:57:00,19:32:00,,9:25:00,174.43,19:32:00,20:07:41,0:35:42,19:32:00,20:07:41,0:35:42,04:57:00,06:03:16,1:06:16,,,,,
2011-01-20,06:04:14,20:07:19,14:03:04,,06:06:00,20:15:00,,9:51:00,187.43,06:04:14,06:06:00,0:01:45,06:04:14,06:06:00,0:01:45,20:07:19,20:15:00,0:07:41,,,,,
2011-01-21,06:05:13,20:06:54,14:01:41,,07:17:00,20:55:00,,10:22:00,201.43,06:05:13,07:17:00,1:11:46,06:05:13,07:17:00,1:11:46,20:06:54,20:55:00,0:48:05,,,,,
2011-01-22,06:06:13,20:06:29,14:00:16,,08:28:00,21:31:00,,10:57:00,215.43,06:06:13,08:28:00,2:21:47,06:06:13,08:28:00,2:21:47,20:06:29,21:31:00,1:24:31,,,,,
2011-01-23,06:07:12,20:06:01,13:58:48,,09:37:00,22:05:00,,11:32:00,228.43,06:07:12,09:37:00,3:29:47,06:07:12,09:37:00,3:29:47,20:06:01,22:05:00,1:58:59,,,,,
2011-01-24,06:08:12,20:05:31,13:57:19,22:40:00,,,,1:20:00,242.43,,,0:00:00,,,0:00:00,00:00:00,22:40:00,8:42:41,,,,,
2011-01-25,06:09:12,20:05:00,13:55:48,,11:54:00,23:15:00,,12:39:00,255.43,06:09:12,11:54:00,5:44:47,06:09:12,11:54:00,5:44:47,20:05:00,23:15:00,3:09:59,,,,,
2011-01-26,06:10:12,20:04:27,13:54:15,,13:02:00,23:54:00,,13:08:00,268.43,06:10:12,13:02:00,6:51:47,06:10:12,13:02:00,6:51:47,20:04:27,23:54:00,3:49:32,,,,,
2011-01-27,06:11:13,20:03:53,13:52:40,,14:09:00,,,14:09:00,281.43,06:11:13,14:09:00,7:57:47,,,0:00:00,20:03:53,00:00:00,3:56:07,,,,,
2011-01-28,06:12:13,20:03:17,13:51:04,00:37:00,15:13:00,,,14:36:00,294.43,06:12:13,15:13:00,9:00:47,,,0:00:00,00:00:00,00:00:00,4:33:43,,,,,
2011-01-29,06:13:13,20:02:39,13:49:26,01:25:00,16:14:00,,,14:49:00,306.43,06:13:13,16:14:00,10:00:46,,,0:00:00,00:00:00,00:00:00,5:22:21,,,,,
2011-01-30,06:14:13,20:01:59,13:47:46,02:18:00,17:09:00,,,14:51:00,318.43,06:14:13,17:09:00,10:54:46,,,0:00:00,00:00:00,00:00:00,6:16:00,,,,,
2011-01-31,06:15:14,20:01:18,13:46:05,03:15:00,17:57:00,,,14:42:00,330.43,06:15:14,17:57:00,11:41:46,,,0:00:00,00:00:00,00:00:00,7:13:41,,,,,
2011-02-01,06:16:14,20:00:36,13:44:22,04:14:00,18:39:00,,,14:25:00,342.43,06:16:14,18:39:00,12:22:46,,,0:00:00,00:00:00,00:00:00,8:13:24,,,,,
2011-02-02,06:17:14,19:59:52,13:42:38,05:13:00,19:16:00,,,14:03:00,353.43,06:17:14,19:16:00,12:58:46,,,0:00:00,00:00:00,00:00:00,9:13:08,,,,,
2011-02-03,06:18:14,19:59:06,13:40:52,06:12:00,19:49:00,,,13:37:00,5.43,06:18:14,19:49:00,13:30:46,,,0:00:00,00:00:00,00:00:00,10:12:54,,,,,
2011-02-04,06:19:14,19:58:19,13:39:05,07:09:00,20:18:00,,,13:09:00,16.43,07:09:00,19:58:19,12:49:19,,,0:00:00,00:00:00,00:00:00,10:01:14,,,,,
2011-02-05,06:20:13,19:57:30,13:37:17,08:05:00,20:46:00,,,12:41:00,27.43,08:05:00,19:57:30,11:52:31,,,0:00:00,00:00:00,00:00:00,9:34:14,,,,,
2011-02-06,06:21:13,19:56:40,13:35:28,08:59:00,21:13:00,,,12:14:00,37.43,08:59:00,19:56:40,10:57:41,,,0:00:00,00:00:00,00:00:00,9:08:13,,,,,
2011-02-07,06:22:12,19:55:49,13:33:37,09:54:00,21:40:00,,,11:46:00,48.43,09:54:00,19:55:49,10:01:49,,,0:00:00,00:00:00,00:00:00,8:42:13,,,,,
2011-02-08,06:23:11,19:54:56,13:31:45,,22:09:00,,,22:09:00,59.43,06:23:11,19:54:56,13:31:45,,,0:00:00,22:09:00,00:00:00,1:51:00,,,,,
2011-02-09,06:24:10,19:54:02,13:29:53,11:44:00,22:40:00,,,10:56:00,70.43,11:44:00,19:54:02,8:10:03,,,0:00:00,00:00:00,00:00:00,7:44:10,,,,,
2011-02-10,06:25:08,19:53:07,13:27:59,12:40:00,23:14:00,,,10:34:00,81.43,12:40:00,19:53:07,7:13:07,,,0:00:00,00:00:00,00:00:00,7:11:09,,,,,
2011-02-11,06:26:06,19:52:10,13:26:04,13:38:00,23:54:00,,,10:16:00,92.43,13:38:00,19:52:10,6:14:11,13:38:00,19:52:10,6:14:11,00:00:00,00:00:00,6:32:07,,,,,
2011-02-12,06:27:04,19:51:12,13:24:08,14:36:00,,,,9:24:00,103.43,14:36:00,19:51:12,5:15:13,14:36:00,19:51:12,5:15:13,00:00:00,06:27:04,6:27:05,,,,,
2011-02-13,06:28:02,19:50:13,13:22:12,,00:41:00,15:33:00,,9:08:00,115.43,15:33:00,19:50:13,4:17:14,15:33:00,19:50:13,4:17:14,00:41:00,06:28:02,5:47:02,,,,,
2011-02-14,06:28:59,19:49:13,13:20:14,,01:34:00,16:28:00,,9:06:00,127.43,16:28:00,19:49:13,3:21:14,16:28:00,19:49:13,3:21:14,01:34:00,06:28:59,4:54:59,,,,,
2011-02-15,06:29:56,19:48:12,13:18:16,,02:35:00,17:18:00,,9:17:00,140.43,17:18:00,19:48:12,2:30:12,17:18:00,19:48:12,2:30:12,02:35:00,06:29:56,3:54:56,,,,,
2011-02-16,06:30:52,19:47:09,13:16:17,,03:41:00,18:04:00,,9:37:00,153.43,18:04:00,19:47:09,1:43:10,18:04:00,19:47:09,1:43:10,03:41:00,06:30:52,2:49:53,,,,,
2011-02-17,06:31:48,19:46:06,13:14:17,,04:51:00,18:46:00,,10:05:00,167.43,18:46:00,19:46:06,1:00:06,18:46:00,19:46:06,1:00:06,04:51:00,06:31:48,1:40:49,,,,,
2011-02-18,06:32:44,19:45:01,13:12:17,,06:03:00,19:24:00,,10:39:00,181.43,19:24:00,19:45:01,0:21:02,19:24:00,19:45:01,0:21:02,06:03:00,06:32:44,0:29:45,,,,,
2011-02-19,06:33:39,19:43:55,13:10:16,,07:14:00,20:01:00,,11:13:00,195.43,06:33:39,07:14:00,0:40:20,06:33:39,07:14:00,0:40:20,19:43:55,20:01:00,0:17:04,,,,,
2011-02-20,06:34:35,19:42:49,13:08:14,,08:26:00,20:37:00,,11:49:00,209.43,06:34:35,08:26:00,1:51:25,06:34:35,08:26:00,1:51:25,19:42:49,20:37:00,0:54:11,,,,,
2011-02-21,06:35:29,19:41:41,13:06:12,,09:37:00,21:13:00,,12:24:00,223.43,06:35:29,09:37:00,3:01:30,06:35:29,09:37:00,3:01:30,19:41:41,21:13:00,1:31:18,,,,,
2011-02-22,06:36:23,19:40:33,13:04:09,21:53:00,,,,2:07:00,236.43,,,0:00:00,,,0:00:00,00:00:00,21:53:00,8:48:51,,,,,
2011-02-23,06:37:17,19:39:23,13:02:06,,11:57:00,22:36:00,,13:21:00,250.43,06:37:17,11:57:00,5:19:42,06:37:17,11:57:00,5:19:42,19:39:23,22:36:00,2:56:36,,,,,
2011-02-24,06:38:11,19:38:13,13:00:02,,13:04:00,23:23:00,,13:41:00,263.43,06:38:11,13:04:00,6:25:49,06:38:11,13:04:00,6:25:49,19:38:13,23:23:00,3:44:46,,,,,
2011-02-25,06:39:04,19:37:02,12:57:58,,14:07:00,,,14:07:00,275.43,06:39:04,14:07:00,7:27:56,,,0:00:00,19:37:02,00:00:00,4:22:57,,,,,
2011-02-26,06:39:57,19:35:50,12:55:54,00:15:00,15:05:00,,,14:50:00,288.43,06:39:57,15:05:00,8:25:03,,,0:00:00,00:00:00,00:00:00,4:39:09,,,,,
2011-02-27,06:40:49,19:34:38,12:53:49,01:11:00,15:55:00,,,14:44:00,300.43,06:40:49,15:55:00,9:14:10,,,0:00:00,00:00:00,00:00:00,5:36:22,,,,,
2011-02-28,06:41:41,19:33:24,12:51:43,02:09:00,16:39:00,,,14:30:00,311.43,06:41:41,16:39:00,9:57:18,,,0:00:00,00:00:00,00:00:00,6:35:35,,,,,
2011-03-01,06:42:33,19:32:10,12:49:38,03:07:00,17:17:00,,,14:10:00,323.43,06:42:33,17:17:00,10:34:27,,,0:00:00,00:00:00,00:00:00,7:34:49,,,,,
