Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Total-Moon-Visible-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Surya-Time,Chandra-Time,Agni-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days,Surya-Days,Chandra-Days,Agni-Days
2019-01-01,05:47:32,20:09:06,14:21:34,02:19:00,15:39:00,,,13:20:00,307.43,05:47:32,15:39:00,9:51:27,13:20:00,00:00:00,00:00:00,6:09:53,1:01:34,13:20:00,6:09:53,,,,,,,
2019-01-02,05:48:17,20:09:17,14:21:00,02:54:00,16:39:00,,,13:45:00,319.43,05:48:17,16:39:00,10:50:43,13:45:00,00:00:00,00:00:00,6:44:42,0:36:00,13:45:00,6:44:42,,,,,,,
2019-01-03,05:49:02,20:09:26,14:20:24,03:32:00,17:37:00,,,14:05:00,331.43,05:49:02,17:37:00,11:47:57,0:00:00,00:00:00,00:00:00,7:22:33,14:20:24,14:05:00,7:22:33,,,,,,,
2019-01-04,05:49:49,20:09:34,14:19:44,04:13:00,18:33:00,,,14:20:00,342.43,05:49:49,18:33:00,12:43:10,0:00:00,00:00:00,00:00:00,8:03:26,14:19:44,14:20:00,8:03:26,,,,,,,
2019-01-05,05:50:37,20:09:39,14:19:02,04:58:00,19:26:00,,,14:28:00,354.43,05:50:37,19:26:00,13:35:22,0:00:00,00:00:00,00:00:00,8:48:21,14:19:02,14:28:00,8:48:21,,,,,,,
2019-01-06,05:51:26,20:09:43,14:18:16,05:46:00,20:16:00,,,14:30:00,5.43,05:51:26,20:09:43,14:18:16,0:00:00,00:00:00,00:00:00,9:30:00,14:18:16,14:30:00,9:30:00,,,,,,,
2019-01-07,05:52:17,20:09:44,14:17:28,06:37:00,21:01:00,,,14:24:00,16.43,06:37:00,20:09:44,13:32:45,0:00:00,00:00:00,00:00:00,8:51:17,14:17:28,14:24:00,8:51:17,,,,,,,
2019-01-08,05:53:08,20:09:44,14:16:36,07:30:00,21:41:00,,,14:11:00,27.43,07:30:00,20:09:44,12:39:45,0:00:00,00:00:00,00:00:00,8:12:08,14:16:36,14:11:00,8:12:08,,,,,,,
2019-01-09,05:54:00,20:09:42,14:15:42,08:24:00,22:18:00,,,13:54:00,37.43,08:24:00,20:09:42,11:45:43,13:54:00,00:00:00,00:00:00,7:36:00,0:21:42,13:54:00,7:36:00,,,,,,,
2019-01-10,05:54:52,20:09:38,14:14:46,09:19:00,22:52:00,,,13:33:00,48.43,09:19:00,20:09:38,10:50:39,13:33:00,00:00:00,00:00:00,7:02:53,0:41:46,13:33:00,7:02:53,,,,,,,
2019-01-11,05:55:46,20:09:32,14:13:46,,23:23:00,,,23:23:00,59.43,05:55:46,20:09:32,14:13:46,23:23:00,23:23:00,00:00:00,0:37:00,0:00:00,23:23:00,0:37:00,,,,,,,
2019-01-12,05:56:40,20:09:25,14:12:44,11:08:00,23:53:00,,,12:45:00,70.43,11:08:00,20:09:25,9:01:25,12:45:00,00:00:00,00:00:00,6:03:41,1:27:44,12:45:00,6:03:41,,,,,,,
2019-01-13,05:57:35,20:09:15,14:11:40,12:02:00,,,,11:58:00,81.43,12:02:00,20:09:15,8:07:16,11:58:00,00:00:00,05:57:35,5:57:36,2:13:40,11:58:00,5:57:36,,,,,,,
2019-01-14,05:58:31,20:09:04,14:10:32,,00:23:00,12:59:00,,11:24:00,92.43,12:59:00,20:09:04,7:10:04,11:24:00,00:23:00,05:58:31,5:35:32,2:46:32,11:24:00,5:35:32,,,,,,,
2019-01-15,05:59:27,20:08:50,14:09:23,,00:54:00,13:57:00,,10:57:00,104.43,13:57:00,20:08:50,6:11:51,10:57:00,00:54:00,05:59:27,5:05:28,3:12:23,10:57:00,5:05:28,,,,,,,
2019-01-16,06:00:24,20:08:35,14:08:11,,01:27:00,14:57:00,,10:30:00,116.43,14:57:00,20:08:35,5:11:36,10:30:00,01:27:00,06:00:24,4:33:25,3:38:11,10:30:00,4:33:25,,,,,,,
2019-01-17,06:01:22,20:08:18,14:06:56,,02:05:00,16:01:00,,10:04:00,128.43,16:01:00,20:08:18,4:07:19,10:04:00,02:05:00,06:01:22,3:56:22,4:02:56,10:04:00,3:56:22,,,,,,,
2019-01-18,06:02:20,20:07:59,14:05:40,,02:47:00,17:06:00,,9:41:00,141.43,17:06:00,20:07:59,3:02:00,9:41:00,02:47:00,06:02:20,3:15:20,4:24:40,9:41:00,3:15:20,,,,,,,
2019-01-19,06:03:18,20:07:39,14:04:21,,03:37:00,18:12:00,,9:25:00,155.43,18:12:00,20:07:39,1:55:39,9:25:00,03:37:00,06:03:18,2:26:18,4:39:21,9:25:00,2:26:18,,,,,,,
2019-01-20,06:04:17,20:07:16,14:02:59,,04:34:00,19:16:00,,9:18:00,169.43,19:16:00,20:07:16,0:51:17,9:18:00,04:34:00,06:04:17,1:30:17,4:44:59,9:18:00,1:30:17,,,,,,,
2019-01-21,06:05:16,20:06:52,14:01:36,,05:39:00,20:14:00,,9:25:00,183.43,,,0:00:00,9:25:00,05:39:00,20:14:00,0:33:24,4:36:36,9:25:00,0:33:24,,,,,,,
2019-01-22,06:06:15,20:06:26,14:00:11,,06:49:00,21:06:00,,9:43:00,197.43,06:06:15,06:49:00,0:42:44,9:43:00,20:06:26,21:06:00,0:59:34,4:17:11,9:43:00,0:59:34,,,,,,,
2019-01-23,06:07:15,20:05:58,13:58:43,,08:01:00,21:52:00,,10:09:00,211.43,06:07:15,08:01:00,1:53:45,10:09:00,20:05:58,21:52:00,1:46:01,3:49:43,10:09:00,1:46:01,,,,,,,
2019-01-24,06:08:14,20:05:29,13:57:14,,09:12:00,22:33:00,,10:39:00,225.43,06:08:14,09:12:00,3:03:45,10:39:00,20:05:29,22:33:00,2:27:31,3:18:14,10:39:00,2:27:31,,,,,,,
2019-01-25,06:09:14,20:04:57,13:55:43,23:11:00,,,,0:49:00,238.43,,,0:00:00,0:49:00,00:00:00,23:11:00,9:15:17,13:06:43,0:49:00,9:15:17,,,,,,,
2019-01-26,06:10:15,20:04:24,13:54:10,,11:27:00,23:46:00,,11:41:00,251.43,06:10:15,11:27:00,5:16:45,11:41:00,20:04:24,23:46:00,3:41:35,2:13:10,11:41:00,3:41:35,,,,,,,
2019-01-27,06:11:15,20:03:50,13:52:35,,12:31:00,,,12:31:00,264.43,06:11:15,12:31:00,6:19:45,12:31:00,20:03:50,00:00:00,3:56:10,1:21:35,12:31:00,3:56:10,,,,,,,
2019-01-28,06:12:15,20:03:13,13:50:58,00:21:00,13:33:00,,,13:12:00,277.43,06:12:15,13:33:00,7:20:44,13:12:00,00:00:00,00:00:00,4:17:46,0:38:58,13:12:00,4:17:46,,,,,,,
2019-01-29,06:13:15,20:02:35,13:49:20,00:56:00,14:33:00,,,13:37:00,289.43,06:13:15,14:33:00,8:19:44,13:37:00,00:00:00,00:00:00,4:53:24,0:12:20,13:37:00,4:53:24,,,,,,,
2019-01-30,06:14:16,20:01:56,13:47:40,01:33:00,15:32:00,,,13:59:00,301.43,06:14:16,15:32:00,9:17:44,13:59:00,00:00:00,00:00:00,5:31:04,0:00:00,13:59:00,5:31:04,,,,,,,
2019-01-31,06:15:16,20:01:15,13:45:59,02:13:00,16:28:00,,,14:15:00,312.43,06:15:16,16:28:00,10:12:44,14:15:00,00:00:00,00:00:00,6:11:45,0:00:00,14:15:00,6:11:45,,,,,,,
2019-02-01,06:16:16,20:00:32,13:44:16,02:56:00,17:22:00,,,14:26:00,323.43,06:16:16,17:22:00,11:05:43,14:26:00,00:00:00,00:00:00,6:55:27,0:00:00,14:26:00,6:55:27,,,,,,,
2019-02-02,06:17:16,19:59:48,13:42:32,03:43:00,18:13:00,,,14:30:00,334.43,06:17:16,18:13:00,11:55:43,0:00:00,00:00:00,00:00:00,7:43:11,13:42:32,14:30:00,7:43:11,,,,,,,
2019-02-03,06:18:16,19:59:02,13:40:46,04:32:00,18:59:00,,,14:27:00,345.43,06:18:16,18:59:00,12:40:43,0:00:00,00:00:00,00:00:00,8:32:57,13:40:46,14:27:00,8:32:57,,,,,,,
2019-02-04,06:19:16,19:58:15,13:38:59,05:25:00,19:41:00,,,14:16:00,356.43,06:19:16,19:41:00,13:21:44,0:00:00,00:00:00,00:00:00,9:26:44,13:38:59,14:16:00,9:26:44,,,,,,,
2019-02-05,06:20:16,19:57:27,13:37:11,06:18:00,20:18:00,,,14:00:00,7.43,06:20:16,19:57:27,13:37:11,0:00:00,00:00:00,00:00:00,10:00:00,13:37:11,14:00:00,10:00:00,,,,,,,
2019-02-06,06:21:15,19:56:37,13:35:22,07:13:00,20:53:00,,,13:40:00,18.43,07:13:00,19:56:37,12:43:37,0:00:00,00:00:00,00:00:00,9:28:15,13:35:22,13:40:00,9:28:15,,,,,,,
2019-02-07,06:22:14,19:55:45,13:33:31,08:07:00,21:25:00,,,13:18:00,28.43,08:07:00,19:55:45,11:48:46,0:00:00,00:00:00,00:00:00,8:57:15,13:33:31,13:18:00,8:57:15,,,,,,,
