Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2013-01-01,06:51:14,16:38:18,9:47:04,20:23:00,,,,3:37:00,225.43,,,0:00:00,,,0:00:00,00:00:00,20:23:00,10:35:56,,,,,
2013-01-02,06:51:25,16:39:05,9:47:40,,09:24:00,21:22:00,,12:02:00,237.43,06:51:25,09:24:00,2:32:35,06:51:25,09:24:00,2:32:35,16:39:05,21:22:00,4:42:55,,,,,
2013-01-03,06:51:33,16:39:53,9:48:20,,09:55:00,22:22:00,,11:33:00,249.43,06:51:33,09:55:00,3:03:27,06:51:33,09:55:00,3:03:27,16:39:53,22:22:00,5:42:07,,,,,
2013-01-04,06:51:39,16:40:42,9:49:02,,10:28:00,23:24:00,,11:04:00,261.43,06:51:39,10:28:00,3:36:20,06:51:39,10:28:00,3:36:20,16:40:42,23:24:00,6:43:18,,,,,
2013-01-05,06:51:44,16:41:32,9:49:48,,11:02:00,,,11:02:00,274.43,06:51:44,11:02:00,4:10:16,,,0:00:00,16:41:32,00:00:00,7:18:28,,,,,
2013-01-06,06:51:46,16:42:23,9:50:36,00:28:00,11:39:00,,,11:11:00,286.43,06:51:46,11:39:00,4:47:13,,,0:00:00,00:00:00,00:00:00,7:45:37,,,,,
2013-01-07,06:51:47,16:43:15,9:51:28,01:34:00,12:22:00,,,10:48:00,299.43,06:51:47,12:22:00,5:30:12,,,0:00:00,00:00:00,00:00:00,8:50:45,,,,,
2013-01-08,06:51:46,16:44:08,9:52:22,02:42:00,13:11:00,,,10:29:00,313.43,06:51:46,13:11:00,6:19:14,,,0:00:00,00:00:00,00:00:00,9:57:51,,,,,
2013-01-09,06:51:42,16:45:02,9:53:20,03:49:00,14:07:00,,,10:18:00,326.43,06:51:42,14:07:00,7:15:17,,,0:00:00,00:00:00,00:00:00,11:03:57,,,,,
2013-01-10,06:51:37,16:45:57,9:54:20,04:53:00,15:10:00,,,10:17:00,340.43,06:51:37,15:10:00,8:18:22,,,0:00:00,00:00:00,00:00:00,12:07:02,,,,,
2013-01-11,06:51:30,16:46:53,9:55:23,05:52:00,16:19:00,,,10:27:00,354.43,06:51:30,16:19:00,9:27:29,,,0:00:00,00:00:00,00:00:00,13:05:07,,,,,
2013-01-12,06:51:21,16:47:49,9:56:28,06:44:00,17:29:00,,,10:45:00,8.43,06:51:21,16:47:49,9:56:28,,,0:00:00,00:00:00,00:00:00,13:15:00,,,,,
2013-01-13,06:51:10,16:48:47,9:57:37,07:29:00,18:38:00,,,11:09:00,22.43,07:29:00,16:48:47,9:19:47,,,0:00:00,00:00:00,00:00:00,12:13:10,,,,,
2013-01-14,06:50:57,16:49:45,9:58:48,08:09:00,19:46:00,,,11:37:00,35.43,08:09:00,16:49:45,8:40:45,,,0:00:00,00:00:00,00:00:00,11:04:57,,,,,
2013-01-15,06:50:42,16:50:43,10:00:01,,20:50:00,,,20:50:00,48.43,06:50:42,16:50:43,10:00:01,,,0:00:00,20:50:00,00:00:00,3:10:00,,,,,
2013-01-16,06:50:25,16:51:42,10:01:17,09:19:00,21:52:00,,,12:33:00,61.43,09:19:00,16:51:42,7:32:43,,,0:00:00,00:00:00,00:00:00,8:58:26,,,,,
2013-01-17,06:50:06,16:52:42,10:02:35,09:51:00,22:51:00,,,13:00:00,73.43,09:51:00,16:52:42,7:01:42,,,0:00:00,00:00:00,00:00:00,7:59:07,,,,,
2013-01-18,06:49:46,16:53:42,10:03:56,10:24:00,23:49:00,,,13:25:00,85.43,10:24:00,16:53:42,6:29:43,,,0:00:00,00:00:00,00:00:00,7:00:46,,,,,
2013-01-19,06:49:23,16:54:43,10:05:19,10:57:00,,,,13:03:00,96.43,10:57:00,16:54:43,5:57:43,10:57:00,16:54:43,5:57:43,00:00:00,06:49:23,6:49:24,,,,,
2013-01-20,06:48:59,16:55:44,10:06:45,,00:46:00,11:33:00,,13:13:00,107.43,11:33:00,16:55:44,5:22:44,11:33:00,16:55:44,5:22:44,00:46:00,06:48:59,6:02:59,,,,,
2013-01-21,06:48:33,16:56:45,10:08:12,,01:41:00,12:12:00,,13:29:00,118.43,12:12:00,16:56:45,4:44:46,12:12:00,16:56:45,4:44:46,01:41:00,06:48:33,5:07:33,,,,,
2013-01-22,06:48:05,16:57:47,10:09:42,,02:35:00,12:54:00,,13:41:00,128.43,12:54:00,16:57:47,4:03:47,12:54:00,16:57:47,4:03:47,02:35:00,06:48:05,4:13:05,,,,,
2013-01-23,06:47:35,16:58:49,10:11:14,,03:26:00,13:41:00,,13:45:00,139.43,13:41:00,16:58:49,3:17:49,13:41:00,16:58:49,3:17:49,03:26:00,06:47:35,3:21:35,,,,,
2013-01-24,06:47:03,16:59:51,10:12:48,,04:14:00,14:31:00,,13:43:00,150.43,14:31:00,16:59:51,2:28:51,14:31:00,16:59:51,2:28:51,04:14:00,06:47:03,2:33:04,,,,,
2013-01-25,06:46:30,17:00:53,10:14:23,,04:59:00,15:24:00,,13:35:00,161.43,15:24:00,17:00:53,1:36:54,15:24:00,17:00:53,1:36:54,04:59:00,06:46:30,1:47:30,,,,,
2013-01-26,06:45:55,17:01:56,10:16:01,,05:40:00,16:20:00,,13:20:00,172.43,16:20:00,17:01:56,0:41:56,16:20:00,17:01:56,0:41:56,05:40:00,06:45:55,1:05:55,,,,,
2013-01-27,06:45:18,17:02:58,10:17:41,,06:18:00,17:18:00,,13:00:00,183.43,,,0:00:00,,,0:00:00,06:18:00,17:18:00,0:42:19,,,,,
2013-01-28,06:44:39,17:04:01,10:19:22,,06:53:00,18:16:00,,12:37:00,195.43,06:44:39,06:53:00,0:08:21,06:44:39,06:53:00,0:08:21,17:04:01,18:16:00,1:11:59,,,,,
2013-01-29,06:43:59,17:05:04,10:21:05,,07:27:00,19:16:00,,12:11:00,206.43,06:43:59,07:27:00,0:43:01,06:43:59,07:27:00,0:43:01,17:05:04,19:16:00,2:10:56,,,,,
2013-01-30,06:43:17,17:06:06,10:22:50,,07:59:00,20:16:00,,11:43:00,218.43,06:43:17,07:59:00,1:15:43,06:43:17,07:59:00,1:15:43,17:06:06,20:16:00,3:09:53,,,,,
2013-01-31,06:42:33,17:07:09,10:24:36,21:18:00,,,,2:42:00,231.43,,,0:00:00,,,0:00:00,00:00:00,21:18:00,10:53:24,,,,,
2013-02-01,06:41:48,17:08:12,10:26:24,,09:05:00,22:20:00,,10:45:00,243.43,06:41:48,09:05:00,2:23:12,06:41:48,09:05:00,2:23:12,17:08:12,22:20:00,5:11:48,,,,,
2013-02-02,06:41:01,17:09:14,10:28:13,,09:41:00,23:25:00,,10:16:00,255.43,06:41:01,09:41:00,2:59:58,06:41:01,09:41:00,2:59:58,17:09:14,23:25:00,6:15:45,,,,,
2013-02-03,06:40:13,17:10:17,10:30:04,,10:21:00,,,10:21:00,268.43,06:40:13,10:21:00,3:40:47,06:40:13,10:21:00,3:40:47,17:10:17,00:00:00,6:49:43,,,,,
