Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days
2020-01-01,06:51:05,16:37:45,9:46:40,10:49:00,22:17:00,,,11:28:00,10:49:00,16:37:45,5:48:46,00:00:00,00:00:00,8:34:06,,,,
2020-01-02,06:51:17,16:38:31,9:47:14,11:17:00,23:12:00,,,11:55:00,11:17:00,16:38:31,5:21:31,00:00:00,00:00:00,7:39:17,,,,
2020-01-03,06:51:27,16:39:18,9:47:51,11:44:00,,,,12:16:00,11:44:00,16:39:18,4:55:18,00:00:00,06:51:27,6:51:27,,,,
2020-01-04,06:51:34,16:40:06,9:48:32,,00:08:00,12:11:00,,11:57:00,12:11:00,16:40:06,4:29:07,00:08:00,06:51:34,6:43:35,,,,
2020-01-05,06:51:40,16:40:55,9:49:15,,01:03:00,12:39:00,,12:24:00,12:39:00,16:40:55,4:01:56,01:03:00,06:51:40,5:48:41,,,,
2020-01-06,06:51:44,16:41:46,9:50:02,,02:01:00,13:10:00,,12:51:00,13:10:00,16:41:46,3:31:46,02:01:00,06:51:44,4:50:45,,,,
2020-01-07,06:51:46,16:42:37,9:50:51,,03:01:00,13:45:00,,13:16:00,13:45:00,16:42:37,2:57:38,03:01:00,06:51:46,3:50:47,,,,
2020-01-08,06:51:46,16:43:30,9:51:43,,04:02:00,14:26:00,,13:36:00,14:26:00,16:43:30,2:17:30,04:02:00,06:51:46,2:49:47,,,,
2020-01-09,06:51:44,16:44:23,9:52:39,,05:05:00,15:14:00,,13:51:00,15:14:00,16:44:23,1:30:24,05:05:00,06:51:44,1:46:45,,,,
2020-01-10,06:51:40,16:45:17,9:53:37,,06:07:00,16:09:00,,13:58:00,16:09:00,16:45:17,0:36:18,06:07:00,06:51:40,0:44:41,,,,
2020-01-11,06:51:35,16:46:12,9:54:38,,07:05:00,17:12:00,,13:53:00,06:51:35,07:05:00,0:13:25,16:46:12,17:12:00,0:25:47,,,,
2020-01-12,06:51:27,16:47:08,9:55:42,,07:58:00,18:21:00,,13:37:00,06:51:27,07:58:00,1:06:33,16:47:08,18:21:00,1:33:51,,,,
2020-01-13,06:51:17,16:48:05,9:56:48,19:31:00,,,,4:29:00,,,0:00:00,00:00:00,19:31:00,9:34:12,,,,
2020-01-14,06:51:06,16:49:03,9:57:57,,09:27:00,20:41:00,,12:46:00,06:51:06,09:27:00,2:35:54,16:49:03,20:41:00,3:51:57,,,,
2020-01-15,06:50:52,16:50:01,9:59:09,,10:03:00,21:51:00,,12:12:00,06:50:52,10:03:00,3:12:07,16:50:01,21:51:00,5:00:59,,,,
2020-01-16,06:50:37,16:51:00,10:00:23,,10:38:00,22:58:00,,11:40:00,06:50:37,10:38:00,3:47:23,16:51:00,22:58:00,6:07:00,,,,
2020-01-17,06:50:19,16:51:59,10:01:40,,11:11:00,,,11:11:00,06:50:19,11:11:00,4:20:40,16:51:59,00:00:00,7:08:01,,,,
2020-01-18,06:50:00,16:52:59,10:02:59,00:05:00,11:44:00,,,11:39:00,06:50:00,11:44:00,4:54:00,00:00:00,00:00:00,7:12:01,,,,
2020-01-19,06:49:39,16:53:59,10:04:20,01:12:00,12:19:00,,,11:07:00,06:49:39,12:19:00,5:29:21,00:00:00,00:00:00,8:18:01,,,,
2020-01-20,06:49:16,16:55:00,10:05:44,02:18:00,12:57:00,,,10:39:00,06:49:16,12:57:00,6:07:44,00:00:00,00:00:00,9:23:00,,,,
2020-01-21,06:48:51,16:56:01,10:07:10,03:22:00,13:40:00,,,10:18:00,06:48:51,13:40:00,6:51:09,00:00:00,00:00:00,10:25:59,,,,
2020-01-22,06:48:24,16:57:02,10:08:38,04:25:00,14:27:00,,,10:02:00,06:48:24,14:27:00,7:38:35,00:00:00,00:00:00,11:27:57,,,,
2020-01-23,06:47:55,16:58:04,10:10:09,05:23:00,15:20:00,,,9:57:00,06:47:55,15:20:00,8:32:04,00:00:00,00:00:00,12:24:56,,,,
2020-01-24,06:47:25,16:59:06,10:11:41,06:16:00,16:16:00,,,10:00:00,06:47:25,16:16:00,9:28:34,00:00:00,00:00:00,13:16:54,,,,
2020-01-25,06:46:53,17:00:08,10:13:15,07:02:00,17:14:00,,,10:12:00,07:02:00,17:00:08,9:58:09,00:00:00,00:00:00,13:32:53,,,,
2020-01-26,06:46:19,17:01:11,10:14:52,07:43:00,18:13:00,,,10:30:00,07:43:00,17:01:11,9:18:11,00:00:00,00:00:00,12:33:19,,,,
2020-01-27,06:45:43,17:02:13,10:16:30,08:18:00,19:11:00,,,10:53:00,08:18:00,17:02:13,8:44:14,00:00:00,00:00:00,11:34:44,,,,
2020-01-28,06:45:06,17:03:16,10:18:10,,20:07:00,,,20:07:00,06:45:06,17:03:16,10:18:10,20:07:00,00:00:00,3:53:00,,,,
2020-01-29,06:44:27,17:04:18,10:19:52,09:18:00,21:03:00,,,11:45:00,09:18:00,17:04:18,7:46:19,00:00:00,00:00:00,9:41:27,,,,
2020-01-30,06:43:46,17:05:21,10:21:35,09:45:00,21:58:00,,,12:13:00,09:45:00,17:05:21,7:20:22,00:00:00,00:00:00,8:45:46,,,,
2020-01-31,06:43:03,17:06:24,10:23:21,10:12:00,22:53:00,,,12:41:00,10:12:00,17:06:24,6:54:24,00:00:00,00:00:00,7:50:04,,,,
2020-02-01,06:42:19,17:07:27,10:25:07,10:39:00,23:49:00,,,13:10:00,10:39:00,17:07:27,6:28:27,00:00:00,00:00:00,6:53:20,,,,
2020-02-02,06:41:34,17:08:29,10:26:56,11:08:00,,,,12:52:00,11:08:00,17:08:29,6:00:30,00:00:00,06:41:34,6:41:34,,,,
2020-02-03,06:40:46,17:09:32,10:28:46,,00:46:00,11:40:00,,13:06:00,11:40:00,17:09:32,5:29:32,00:46:00,06:40:46,5:54:47,,,,
2020-02-04,06:39:58,17:10:34,10:30:37,,01:46:00,12:17:00,,13:29:00,12:17:00,17:10:34,4:53:35,01:46:00,06:39:58,4:53:58,,,,
2020-02-05,06:39:07,17:11:37,10:32:29,,02:47:00,13:01:00,,13:46:00,13:01:00,17:11:37,4:10:37,02:47:00,06:39:07,3:52:08,,,,
2020-02-06,06:38:15,17:12:39,10:34:23,,03:48:00,13:52:00,,13:56:00,13:52:00,17:12:39,3:20:39,03:48:00,06:38:15,2:50:16,,,,
2020-02-07,06:37:22,17:13:41,10:36:19,,04:48:00,14:51:00,,13:57:00,14:51:00,17:13:41,2:22:41,04:48:00,06:37:22,1:49:23,,,,
2020-02-08,06:36:27,17:14:43,10:38:15,,05:44:00,15:57:00,,13:47:00,15:57:00,17:14:43,1:17:43,05:44:00,06:36:27,0:52:28,,,,
2020-02-09,06:35:31,17:15:44,10:40:13,,06:34:00,17:08:00,,13:26:00,17:08:00,17:15:44,0:07:45,06:34:00,06:35:31,0:01:32,,,,
2020-02-10,06:34:34,17:16:46,10:42:12,,07:19:00,18:21:00,,12:58:00,06:34:34,07:19:00,0:44:26,17:16:46,18:21:00,1:04:14,,,,
2020-02-11,06:33:35,17:17:47,10:44:11,,07:59:00,19:34:00,,12:25:00,06:33:35,07:59:00,1:25:24,17:17:47,19:34:00,2:16:13,,,,
2020-02-12,06:32:35,17:18:47,10:46:12,20:45:00,,,,3:15:00,,,0:00:00,00:00:00,20:45:00,9:58:48,,,,
2020-02-13,06:31:34,17:19:48,10:48:14,,09:10:00,21:55:00,,11:15:00,06:31:34,09:10:00,2:38:26,17:19:48,21:55:00,4:35:12,,,,
2020-02-14,06:30:31,17:20:48,10:50:17,,09:44:00,23:03:00,,10:41:00,06:30:31,09:44:00,3:13:28,17:20:48,23:03:00,5:42:11,,,,
2020-02-15,06:29:27,17:21:48,10:52:21,,10:20:00,,,10:20:00,06:29:27,10:20:00,3:50:32,17:21:48,00:00:00,6:38:11,,,,
2020-02-16,06:28:22,17:22:48,10:54:25,00:11:00,10:57:00,,,10:46:00,06:28:22,10:57:00,4:28:37,00:00:00,00:00:00,6:48:12,,,,
2020-02-17,06:27:16,17:23:47,10:56:31,01:16:00,11:39:00,,,10:23:00,06:27:16,11:39:00,5:11:43,00:00:00,00:00:00,7:52:12,,,,
2020-02-18,06:26:09,17:24:46,10:58:37,02:19:00,12:24:00,,,10:05:00,06:26:09,12:24:00,5:57:51,00:00:00,00:00:00,8:54:13,,,,
2020-02-19,06:25:01,17:25:45,11:00:44,03:19:00,13:15:00,,,9:56:00,06:25:01,13:15:00,6:49:59,00:00:00,00:00:00,9:53:15,,,,
2020-02-20,06:23:51,17:26:43,11:02:52,04:12:00,14:09:00,,,9:57:00,06:23:51,14:09:00,7:45:08,00:00:00,00:00:00,10:45:16,,,,
