Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Total-Moon-Visible-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Surya-Time,Chandra-Time,Agni-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days,Surya-Days,Chandra-Days,Agni-Days
2024-01-01,06:51:06,16:37:46,9:46:40,,10:15:00,21:29:00,,12:46:00,241.43,06:51:06,10:15:00,3:23:54,12:46:00,16:37:46,21:29:00,4:51:14,0:00:00,12:46:00,4:51:14,,,,,,,
2024-01-02,06:51:17,16:38:31,9:47:14,,10:38:00,22:26:00,,12:12:00,252.43,06:51:17,10:38:00,3:46:42,12:12:00,16:38:31,22:26:00,5:47:28,0:00:00,12:12:00,5:47:28,,,,,,,
2024-01-03,06:51:27,16:39:18,9:47:52,,11:01:00,23:22:00,,11:39:00,263.43,06:51:27,11:01:00,4:09:33,11:39:00,16:39:18,23:22:00,6:42:41,0:00:00,11:39:00,6:42:41,,,,,,,
2024-01-04,06:51:34,16:40:07,9:48:32,,11:23:00,,,11:23:00,274.43,06:51:34,11:23:00,4:31:25,11:23:00,16:40:07,00:00:00,7:19:53,0:00:00,11:23:00,7:19:53,,,,,,,
2024-01-05,06:51:40,16:40:56,9:49:16,00:19:00,11:47:00,,,11:28:00,285.43,06:51:40,11:47:00,4:55:19,11:28:00,00:00:00,00:00:00,7:38:04,0:00:00,11:28:00,7:38:04,,,,,,,
2024-01-06,06:51:44,16:41:46,9:50:02,01:19:00,12:13:00,,,10:54:00,296.43,06:51:44,12:13:00,5:21:15,10:54:00,00:00:00,00:00:00,8:37:13,0:00:00,10:54:00,8:37:13,,,,,,,
2024-01-07,06:51:46,16:42:38,9:50:52,02:21:00,12:43:00,,,10:22:00,308.43,06:51:46,12:43:00,5:51:13,10:22:00,00:00:00,00:00:00,9:38:22,0:00:00,10:22:00,9:38:22,,,,,,,
2024-01-08,06:51:46,16:43:30,9:51:44,03:27:00,13:21:00,,,9:54:00,320.43,06:51:46,13:21:00,6:29:13,9:54:00,00:00:00,00:00:00,10:43:29,0:00:00,9:54:00,10:43:29,,,,,,,
2024-01-09,06:51:44,16:44:24,9:52:40,04:36:00,14:07:00,,,9:31:00,333.43,06:51:44,14:07:00,7:15:15,0:00:00,00:00:00,00:00:00,11:51:36,9:52:40,9:31:00,11:51:36,,,,,,,
2024-01-10,06:51:40,16:45:18,9:53:38,05:44:00,15:05:00,,,9:21:00,346.43,06:51:40,15:05:00,8:13:19,0:00:00,00:00:00,00:00:00,12:58:41,9:53:38,9:21:00,12:58:41,,,,,,,
2024-01-11,06:51:34,16:46:13,9:54:39,06:46:00,16:12:00,,,9:26:00,359.43,06:51:34,16:12:00,9:20:25,0:00:00,00:00:00,00:00:00,13:59:46,9:54:39,9:26:00,13:59:46,,,,,,,
2024-01-12,06:51:27,16:47:09,9:55:43,07:41:00,17:27:00,,,9:46:00,12.43,07:41:00,16:47:09,9:06:10,0:00:00,00:00:00,00:00:00,13:24:27,9:55:43,9:46:00,13:24:27,,,,,,,
2024-01-13,06:51:17,16:48:06,9:56:49,,18:44:00,,,18:44:00,26.43,06:51:17,16:48:06,9:56:49,0:00:00,18:44:00,00:00:00,5:16:00,9:56:49,18:44:00,5:16:00,,,,,,,
2024-01-14,06:51:05,16:49:04,9:57:58,09:04:00,19:59:00,,,10:55:00,40.43,09:04:00,16:49:04,7:45:04,10:55:00,00:00:00,00:00:00,10:52:06,0:00:00,10:55:00,10:52:06,,,,,,,
2024-01-15,06:50:51,16:50:02,9:59:10,09:36:00,21:11:00,,,11:35:00,53.43,09:36:00,16:50:02,7:14:02,11:35:00,00:00:00,00:00:00,9:39:52,0:00:00,11:35:00,9:39:52,,,,,,,
2024-01-16,06:50:36,16:51:01,10:00:25,10:05:00,22:21:00,,,12:16:00,67.43,10:05:00,16:51:01,6:46:01,12:16:00,00:00:00,00:00:00,8:29:36,0:00:00,12:16:00,8:29:36,,,,,,,
2024-01-17,06:50:19,16:52:00,10:01:41,10:32:00,23:30:00,,,12:58:00,80.43,10:32:00,16:52:00,6:20:00,12:58:00,00:00:00,00:00:00,7:20:19,0:00:00,12:58:00,7:20:19,,,,,,,
2024-01-18,06:49:59,16:53:00,10:03:01,11:00:00,,,,13:00:00,93.43,11:00:00,16:53:00,5:53:00,13:00:00,00:00:00,06:49:59,6:50:00,0:00:00,13:00:00,6:50:00,,,,,,,
2024-01-19,06:49:38,16:54:00,10:04:22,,00:38:00,11:30:00,,13:08:00,106.43,11:30:00,16:54:00,5:24:00,13:08:00,00:38:00,06:49:38,6:11:38,0:00:00,13:08:00,6:11:38,,,,,,,
2024-01-20,06:49:15,16:55:01,10:05:46,,01:46:00,12:04:00,,13:42:00,118.43,12:04:00,16:55:01,4:51:01,13:42:00,01:46:00,06:49:15,5:03:15,0:00:00,13:42:00,5:03:15,,,,,,,
2024-01-21,06:48:50,16:56:02,10:07:12,,02:53:00,12:43:00,,14:10:00,131.43,12:43:00,16:56:02,4:13:02,14:10:00,02:53:00,06:48:50,3:55:50,0:00:00,14:10:00,3:55:50,,,,,,,
2024-01-22,06:48:23,16:57:03,10:08:40,,03:59:00,13:29:00,,14:30:00,143.43,13:29:00,16:57:03,3:28:04,14:30:00,03:59:00,06:48:23,2:49:24,0:00:00,14:30:00,2:49:24,,,,,,,
2024-01-23,06:47:54,16:58:05,10:10:11,,04:59:00,14:21:00,,14:38:00,154.43,14:21:00,16:58:05,2:37:06,14:38:00,04:59:00,06:47:54,1:48:55,0:00:00,14:38:00,1:48:55,,,,,,,
2024-01-24,06:47:24,16:59:07,10:11:43,,05:53:00,15:19:00,,14:34:00,166.43,15:19:00,16:59:07,1:40:08,14:34:00,05:53:00,06:47:24,0:54:24,0:00:00,14:34:00,0:54:24,,,,,,,
2024-01-25,06:46:52,17:00:09,10:13:18,,06:39:00,16:20:00,,14:19:00,177.43,16:20:00,17:00:09,0:40:10,14:19:00,06:39:00,06:46:52,0:07:52,0:00:00,14:19:00,0:07:52,,,,,,,
2024-01-26,06:46:18,17:01:12,10:14:54,,07:17:00,17:22:00,,13:55:00,188.43,06:46:18,07:17:00,0:30:42,13:55:00,17:01:12,17:22:00,0:20:48,0:00:00,13:55:00,0:20:48,,,,,,,
2024-01-27,06:45:42,17:02:14,10:16:32,,07:49:00,18:22:00,,13:27:00,199.43,06:45:42,07:49:00,1:03:18,13:27:00,17:02:14,18:22:00,1:19:45,0:00:00,13:27:00,1:19:45,,,,,,,
2024-01-28,06:45:04,17:03:17,10:18:13,,08:17:00,19:20:00,,12:57:00,210.43,06:45:04,08:17:00,1:31:55,12:57:00,17:03:17,19:20:00,2:16:43,0:00:00,12:57:00,2:16:43,,,,,,,
2024-01-29,06:44:25,17:04:20,10:19:54,20:17:00,,,,3:43:00,221.43,,,0:00:00,3:43:00,00:00:00,20:17:00,9:57:06,6:36:54,3:43:00,9:57:06,,,,,,,
2024-01-30,06:43:44,17:05:22,10:21:38,,09:04:00,21:13:00,,11:51:00,232.43,06:43:44,09:04:00,2:20:15,11:51:00,17:05:22,21:13:00,4:07:37,0:00:00,11:51:00,4:07:37,,,,,,,
2024-01-31,06:43:02,17:06:25,10:23:23,,09:26:00,22:09:00,,11:17:00,242.43,06:43:02,09:26:00,2:42:58,11:17:00,17:06:25,22:09:00,5:02:34,0:00:00,11:17:00,5:02:34,,,,,,,
2024-02-01,06:42:18,17:07:28,10:25:10,,09:48:00,23:07:00,,10:41:00,253.43,06:42:18,09:48:00,3:05:42,10:41:00,17:07:28,23:07:00,5:59:32,0:00:00,10:41:00,5:59:32,,,,,,,
2024-02-02,06:41:32,17:08:31,10:26:59,,10:13:00,,,10:13:00,264.43,06:41:32,10:13:00,3:31:28,10:13:00,17:08:31,00:00:00,6:51:29,0:13:59,10:13:00,6:51:29,,,,,,,
2024-02-03,06:40:45,17:09:33,10:28:49,00:07:00,10:40:00,,,10:33:00,276.43,06:40:45,10:40:00,3:59:15,10:33:00,00:00:00,00:00:00,6:57:26,0:00:00,10:33:00,6:57:26,,,,,,,
2024-02-04,06:39:56,17:10:36,10:30:40,01:10:00,11:13:00,,,10:03:00,287.43,06:39:56,11:13:00,4:33:04,10:03:00,00:00:00,00:00:00,7:59:24,0:27:40,10:03:00,7:59:24,,,,,,,
2024-02-05,06:39:05,17:11:38,10:32:33,02:16:00,11:54:00,,,9:38:00,299.43,06:39:05,11:54:00,5:14:54,9:38:00,00:00:00,00:00:00,9:04:22,0:54:33,9:38:00,9:04:22,,,,,,,
2024-02-06,06:38:14,17:12:40,10:34:27,03:23:00,12:45:00,,,9:22:00,312.43,06:38:14,12:45:00,6:06:46,9:22:00,00:00:00,00:00:00,10:10:19,1:12:27,9:22:00,10:10:19,,,,,,,
2024-02-07,06:37:20,17:13:42,10:36:22,04:27:00,13:47:00,,,9:20:00,325.43,06:37:20,13:47:00,7:09:39,9:20:00,00:00:00,00:00:00,11:13:17,1:16:22,9:20:00,11:13:17,,,,,,,
2024-02-08,06:36:26,17:14:44,10:38:18,05:25:00,14:58:00,,,9:33:00,339.43,06:36:26,14:58:00,8:21:34,0:00:00,00:00:00,00:00:00,12:10:16,10:38:18,9:33:00,12:10:16,,,,,,,
2024-02-09,06:35:29,17:15:46,10:40:16,06:15:00,16:15:00,,,10:00:00,352.43,06:35:29,16:15:00,9:39:30,0:00:00,00:00:00,00:00:00,12:59:14,10:40:16,10:00:00,12:59:14,,,,,,,
2024-02-10,06:34:32,17:16:47,10:42:15,06:57:00,17:33:00,,,10:36:00,6.43,06:57:00,17:16:47,10:19:47,0:00:00,00:00:00,00:00:00,13:01:32,10:42:15,10:36:00,13:01:32,,,,,,,
2024-02-11,06:33:33,17:17:48,10:44:15,07:32:00,18:50:00,,,11:18:00,20.43,07:32:00,17:17:48,9:45:49,0:00:00,00:00:00,00:00:00,11:43:34,10:44:15,11:18:00,11:43:34,,,,,,,
2024-02-12,06:32:33,17:18:49,10:46:16,08:03:00,20:03:00,,,12:00:00,34.43,08:03:00,17:18:49,9:15:49,12:00:00,00:00:00,00:00:00,10:29:33,0:00:00,12:00:00,10:29:33,,,,,,,
2024-02-13,06:31:32,17:19:49,10:48:18,,21:15:00,,,21:15:00,48.43,06:31:32,17:19:49,10:48:18,21:15:00,21:15:00,00:00:00,2:45:00,0:00:00,21:15:00,2:45:00,,,,,,,
2024-02-14,06:30:29,17:20:50,10:50:21,09:01:00,22:26:00,,,13:25:00,62.43,09:01:00,17:20:50,8:19:50,13:25:00,00:00:00,00:00:00,8:04:29,0:00:00,13:25:00,8:04:29,,,,,,,
2024-02-15,06:29:25,17:21:50,10:52:25,09:31:00,23:36:00,,,14:05:00,75.43,09:31:00,17:21:50,7:50:50,14:05:00,00:00:00,00:00:00,6:53:26,0:00:00,14:05:00,6:53:26,,,,,,,
2024-02-16,06:28:20,17:22:49,10:54:29,10:04:00,,,,13:56:00,88.43,10:04:00,17:22:49,7:18:50,13:56:00,00:00:00,06:28:20,6:28:21,0:00:00,13:56:00,6:28:21,,,,,,,
2024-02-17,06:27:14,17:23:49,10:56:35,,00:46:00,10:42:00,,14:04:00,100.43,10:42:00,17:23:49,6:41:49,14:04:00,00:46:00,06:27:14,5:41:14,0:00:00,14:04:00,5:41:14,,,,,,,
2024-02-18,06:26:07,17:24:48,10:58:41,,01:53:00,11:26:00,,14:27:00,112.43,11:26:00,17:24:48,5:58:48,14:27:00,01:53:00,06:26:07,4:33:07,0:00:00,14:27:00,4:33:07,,,,,,,
2024-02-19,06:24:58,17:25:46,11:00:48,,02:55:00,12:16:00,,14:39:00,124.43,12:16:00,17:25:46,5:09:47,14:39:00,02:55:00,06:24:58,3:29:59,0:00:00,14:39:00,3:29:59,,,,,,,
2024-02-20,06:23:49,17:26:45,11:02:56,,03:51:00,13:12:00,,14:39:00,136.43,13:12:00,17:26:45,4:14:45,14:39:00,03:51:00,06:23:49,2:32:49,0:00:00,14:39:00,2:32:49,,,,,,,
2024-02-21,06:22:38,17:27:43,11:05:04,,04:38:00,14:12:00,,14:26:00,147.43,14:12:00,17:27:43,3:15:43,14:26:00,04:38:00,06:22:38,1:44:39,0:00:00,14:26:00,1:44:39,,,,,,,
2024-02-22,06:21:27,17:28:40,11:07:13,,05:18:00,15:13:00,,14:05:00,158.43,15:13:00,17:28:40,2:15:41,14:05:00,05:18:00,06:21:27,1:03:28,0:00:00,14:05:00,1:03:28,,,,,,,
2024-02-23,06:20:15,17:29:38,11:09:23,,05:52:00,16:14:00,,13:38:00,169.43,16:14:00,17:29:38,1:15:38,13:38:00,05:52:00,06:20:15,0:28:15,0:00:00,13:38:00,0:28:15,,,,,,,
2024-02-24,06:19:02,17:30:35,11:11:33,,06:20:00,17:13:00,,13:07:00,180.43,06:19:02,17:30:35,0:18:33,13:07:00,,,0:00:00,0:00:00,13:07:00,0:00:00,,,,,,,
2024-02-25,06:17:47,17:31:31,11:13:44,,06:45:00,18:10:00,,12:35:00,191.43,06:17:47,06:45:00,0:27:12,12:35:00,17:31:31,18:10:00,0:38:28,0:00:00,12:35:00,0:38:28,,,,,,,
2024-02-26,06:16:32,17:32:27,11:15:55,,07:08:00,19:07:00,,12:01:00,201.43,06:16:32,07:08:00,0:51:27,12:01:00,17:32:27,19:07:00,1:34:32,0:00:00,12:01:00,1:34:32,,,,,,,
2024-02-27,06:15:17,17:33:23,11:18:07,,07:30:00,20:03:00,,11:27:00,212.43,06:15:17,07:30:00,1:14:43,11:27:00,17:33:23,20:03:00,2:29:36,0:00:00,11:27:00,2:29:36,,,,,,,
2024-02-28,06:14:00,17:34:19,11:20:19,,07:52:00,21:00:00,,10:52:00,223.43,06:14:00,07:52:00,1:37:59,10:52:00,17:34:19,21:00:00,3:25:40,0:28:19,10:52:00,3:25:40,,,,,,,
2024-02-29,06:12:43,17:35:14,11:22:32,,08:16:00,21:58:00,,10:18:00,234.43,06:12:43,08:16:00,2:03:17,10:18:00,17:35:14,21:58:00,4:22:45,1:04:32,10:18:00,4:22:45,,,,,,,
