Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Total-Moon-Visible-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Surya-Time,Chandra-Time,Agni-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-No-Sun-No-Moon-Days,Surya-Days,Chandra-Days,Agni-Days
2000-01-01,06:43:41,17:18:43,10:35:02,01:55:00,13:39:00,,,11:44:00,303.43,06:43:41,13:39:00,6:55:19,11:44:00,00:00:00,00:00:00,8:36:16,0:00:00,11:44:00,8:36:16,,,,,,,
2000-01-02,06:43:58,17:19:23,10:35:24,02:47:00,14:15:00,,,11:28:00,314.43,06:43:58,14:15:00,7:31:01,11:28:00,00:00:00,00:00:00,9:27:37,0:00:00,11:28:00,9:27:37,,,,,,,
2000-01-03,06:44:15,17:20:03,10:35:48,03:38:00,14:54:00,,,11:16:00,325.43,06:44:15,14:54:00,8:09:45,11:16:00,00:00:00,00:00:00,10:17:57,0:00:00,11:16:00,10:17:57,,,,,,,
2000-01-04,06:44:30,17:20:43,10:36:14,04:30:00,15:36:00,,,11:06:00,336.43,06:44:30,15:36:00,8:51:30,0:00:00,00:00:00,00:00:00,11:09:16,10:36:14,11:06:00,11:09:16,,,,,,,
2000-01-05,06:44:43,17:21:25,10:36:42,,16:20:00,,,16:20:00,346.43,06:44:43,16:20:00,9:35:16,0:00:00,17:21:25,00:00:00,6:38:35,10:36:42,16:20:00,6:38:35,,,,,,,
2000-01-06,06:44:55,17:22:07,10:37:11,06:11:00,17:08:00,,,10:57:00,357.43,06:44:55,17:08:00,10:23:04,0:00:00,00:00:00,00:00:00,12:48:53,10:37:11,10:57:00,12:48:53,,,,,,,
2000-01-07,06:45:06,17:22:49,10:37:43,06:59:00,17:58:00,,,10:59:00,8.43,06:59:00,17:22:49,10:23:50,0:00:00,00:00:00,00:00:00,12:47:07,10:37:43,10:59:00,12:47:07,,,,,,,
2000-01-08,06:45:16,17:23:32,10:38:16,07:45:00,18:50:00,,,11:05:00,19.43,07:45:00,17:23:32,9:38:33,0:00:00,00:00:00,00:00:00,11:55:16,10:38:16,11:05:00,11:55:16,,,,,,,
2000-01-09,06:45:24,17:24:15,10:38:52,08:29:00,19:43:00,,,11:14:00,30.43,08:29:00,17:24:15,8:55:16,11:14:00,00:00:00,00:00:00,11:02:24,0:00:00,11:14:00,11:02:24,,,,,,,
2000-01-10,06:45:30,17:24:59,10:39:29,09:10:00,20:37:00,,,11:27:00,41.43,09:10:00,17:24:59,8:15:00,11:27:00,00:00:00,00:00:00,10:08:31,0:00:00,11:27:00,10:08:31,,,,,,,
