Date,Sun-Rise-Time,Sun-Set-Time,Total-Sun-Time,Moon-Rise-1-Time,Moon-Set-1-Time,Moon-Rise-2-Time,Moon-Set-2-Time,Total-Moon-Time,Moon-Phase-Angle,Overlap-Sun-Moon-Start-Time,Overlap-Sun-Moon-End-Time,Total-Overlap-Time,Visible-Overlap-Sun-Moon-Start-Time,Visible-Overlap-Sun-Moon-End-Time,Total-Visible-Overlap-Time,No-Moon-No-Sun-Start-Time,No-Moon-No-Sun-End-Time,Total-No-Moon-No-Sun-Time,Total-Sun-Days,Total-Moon-Days,Total-Overlap-Days,Total-Visible-Overlap-Days,Total-No-Sun-No-Moon-Days
2017-01-01,06:43:53,17:19:16,10:35:22,08:46:00,20:12:00,,,11:26:00,37.43,08:46:00,17:19:16,8:33:16,,,0:00:00,00:00:00,00:00:00,10:31:54,,,,,
2017-01-02,06:44:10,17:19:56,10:35:46,09:29:00,21:08:00,,,11:39:00,48.43,09:29:00,17:19:56,7:50:56,,,0:00:00,00:00:00,00:00:00,9:36:10,,,,,
2017-01-03,06:44:25,17:20:36,10:36:11,10:10:00,22:04:00,,,11:54:00,61.43,10:10:00,17:20:36,7:10:37,,,0:00:00,00:00:00,00:00:00,8:40:25,,,,,
2017-01-04,06:44:39,17:21:18,10:36:39,10:50:00,23:02:00,,,12:12:00,73.43,10:50:00,17:21:18,6:31:18,,,0:00:00,00:00:00,00:00:00,7:42:39,,,,,
2017-01-05,06:44:51,17:21:59,10:37:08,11:31:00,,,,12:29:00,85.43,11:31:00,17:21:59,5:51:00,,,0:00:00,00:00:00,06:44:51,6:44:52,,,,,
2017-01-06,06:45:02,17:22:42,10:37:40,12:12:00,,,,11:48:00,98.43,12:12:00,17:22:42,5:10:42,12:12:00,17:22:42,5:10:42,00:00:00,06:45:02,6:45:03,,,,,
2017-01-07,06:45:12,17:23:25,10:38:13,,01:01:00,12:56:00,,12:05:00,111.43,12:56:00,17:23:25,4:27:25,12:56:00,17:23:25,4:27:25,01:01:00,06:45:12,5:44:12,,,,,
2017-01-08,06:45:20,17:24:08,10:38:48,,02:03:00,13:43:00,,12:20:00,125.43,13:43:00,17:24:08,3:41:08,13:43:00,17:24:08,3:41:08,02:03:00,06:45:20,4:42:20,,,,,
2017-01-09,06:45:26,17:24:52,10:39:25,,03:06:00,14:34:00,,12:32:00,138.43,14:34:00,17:24:52,2:50:52,14:34:00,17:24:52,2:50:52,03:06:00,06:45:26,3:39:27,,,,,
2017-01-10,06:45:32,17:25:36,10:40:04,,04:11:00,15:29:00,,12:42:00,152.43,15:29:00,17:25:36,1:56:36,15:29:00,17:25:36,1:56:36,04:11:00,06:45:32,2:34:32,,,,,
2017-01-11,06:45:35,17:26:20,10:40:45,16:28:00,,,,7:32:00,165.43,16:28:00,17:26:20,0:58:21,16:28:00,17:26:20,0:58:21,00:00:00,06:45:35,6:45:36,,,,,
2017-01-12,06:45:38,17:27:05,10:41:27,,06:14:00,17:30:00,,12:44:00,179.43,,,0:00:00,,,0:00:00,06:14:00,17:30:00,0:34:33,,,,,
2017-01-13,06:45:39,17:27:50,10:42:11,,07:10:00,18:32:00,,12:38:00,192.43,06:45:39,07:10:00,0:24:21,06:45:39,07:10:00,0:24:21,17:27:50,18:32:00,1:04:10,,,,,
2017-01-14,06:45:38,17:28:35,10:42:57,,08:00:00,19:33:00,,12:27:00,205.43,06:45:38,08:00:00,1:14:21,06:45:38,08:00:00,1:14:21,17:28:35,19:33:00,2:04:25,,,,,
