Location,Year,Sun-Days,Moon-Days,Overlap-Days,No-Sun-No-Moon-Days,Surya-Days,Chandra-Days,Agni-Days
NewYork,2000,186,180,92,92,52,180,92
NewYork,2001,186,181,90,89,50,181,89
NewYork,2002,186,182,92,90,51,182,90
NewYork,2003,186,183,95,91,53,183,91
NewYork,2004,186,186,94,88,51,186,88
NewYork,2005,186,184,95,91,53,184,91
NewYork,2006,186,183,93,90,53,183,90
NewYork,2007,186,181,90,89,52,181,89
NewYork,2008,186,179,92,93,54,179,93
NewYork,2009,186,180,90,90,52,180,90
NewYork,2010,186,181,91,90,51,181,90
NewYork,2011,186,182,94,91,52,182,91
NewYork,2012,186,185,93,88,49,185,88
NewYork,2013,186,184,94,90,49,184,90
NewYork,2014,186,183,95,91,50,183,91
NewYork,2015,186,182,91,89,50,182,89
NewYork,2016,186,181,93,93,50,181,93
NewYork,2017,186,180,90,90,49,180,90
NewYork,2018,186,180,90,89,49,180,89
NewYork,2019,186,180,93,92,52,180,92
NewYork,2020,186,183,92,89,50,183,89
NewYork,2021,186,184,94,90,51,184,90
NewYork,2022,186,184,95,91,53,184,91
NewYork,2023,186,184,93,88,51,184,88
NewYork,2024,186,181,93,92,53,181,92
NewYork,2025,186,180,92,91,53,180,91
SaoPaulo,2000,185,184,94,91,41,184,91
SaoPaulo,2001,184,182,90,89,39,182,89
SaoPaulo,2002,184,182,91,91,41,182,91
SaoPaulo,2003,184,181,93,93,44,181,93
SaoPaulo,2004,185,181,90,91,42,181,91
SaoPaulo,2005,184,182,93,93,43,182,93
SaoPaulo,2006,184,182,92,91,42,182,91
SaoPaulo,2007,184,182,90,89,40,182,89
SaoPaulo,2008,185,185,94,91,42,185,91
SaoPaulo,2009,184,183,91,89,40,183,89
SaoPaulo,2010,184,182,91,89,40,182,89
SaoPaulo,2011,184,181,93,93,44,181,93
SaoPaulo,2012,185,181,90,91,42,181,91
SaoPaulo,2013,184,182,93,92,41,182,92
SaoPaulo,2014,184,182,93,93,41,182,93
SaoPaulo,2015,184,181,90,90,41,181,90
SaoPaulo,2016,185,184,94,92,40,184,92
SaoPaulo,2017,184,183,91,89,38,183,89
SaoPaulo,2018,184,183,90,89,39,183,89
SaoPaulo,2019,184,183,94,91,42,183,91
SaoPaulo,2020,185,182,91,90,41,182,90
SaoPaulo,2021,184,181,92,92,42,181,92
SaoPaulo,2022,184,181,93,93,43,181,93
SaoPaulo,2023,184,180,89,91,42,180,91
SaoPaulo,2024,185,183,94,92,42,183,92
SaoPaulo,2025,184,183,92,90,42,183,90
London,2000,187,178,92,93,60,178,93
London,2001,187,180,90,89,58,180,89
London,2002,187,182,93,90,59,182,90
London,2003,187,183,95,91,61,183,91
London,2004,187,188,95,86,60,188,86
London,2005,187,184,96,90,62,184,90
London,2006,187,183,94,90,62,183,90
London,2007,187,181,91,89,62,181,89
London,2008,187,177,91,94,64,177,94
London,2009,187,180,90,89,61,180,89
London,2010,187,180,91,89,60,180,89
London,2011,187,182,95,91,59,182,91
London,2012,187,186,94,87,57,186,87
London,2013,187,184,95,90,56,184,90
London,2014,187,184,95,90,56,184,90
London,2015,187,183,92,88,56,183,88
London,2016,187,180,93,92,56,180,92
London,2017,187,179,91,90,56,179,90
London,2018,187,180,90,89,57,180,89
London,2019,187,179,93,92,59,179,92
London,2020,187,184,93,88,58,184,88
London,2021,187,185,95,89,60,185,89
London,2022,187,184,96,90,61,184,90
London,2023,187,186,94,86,60,186,86
London,2024,187,181,94,92,62,181,92
London,2025,187,179,91,91,63,179,91
Cairo,2000,185,181,93,92,45,181,92
Cairo,2001,185,181,90,89,43,181,89
Cairo,2002,185,182,92,90,43,182,90
Cairo,2003,185,182,94,92,47,182,92
Cairo,2004,185,185,93,88,44,185,88
Cairo,2005,185,183,94,91,46,183,91
Cairo,2006,185,183,93,91,46,183,91
Cairo,2007,185,181,90,89,44,181,89
Cairo,2008,185,180,92,93,47,180,93
Cairo,2009,185,181,90,89,44,181,89
Cairo,2010,185,182,91,89,44,182,89
Cairo,2011,185,182,94,92,45,182,92
Cairo,2012,185,184,92,89,43,184,89
Cairo,2013,185,183,94,91,44,183,91
Cairo,2014,185,183,94,91,44,183,91
Cairo,2015,185,181,91,89,44,181,89
Cairo,2016,185,182,93,92,43,182,92
Cairo,2017,185,181,91,90,42,181,90
Cairo,2018,185,181,90,89,43,181,89
Cairo,2019,185,181,93,92,45,181,92
Cairo,2020,185,182,91,89,44,182,89
Cairo,2021,185,183,93,90,44,183,90
Cairo,2022,185,183,95,92,45,183,92
Cairo,2023,185,184,92,88,44,184,88
Cairo,2024,185,182,93,92,46,182,92
Cairo,2025,185,181,92,91,46,181,91
Tokyo,2000,186,181,92,92,51,181,92
Tokyo,2001,185,181,90,89,49,181,89
Tokyo,2002,185,182,92,90,50,182,90
Tokyo,2003,185,182,94,92,53,182,92
Tokyo,2004,186,184,93,89,51,184,89
Tokyo,2005,185,183,94,91,52,183,91
Tokyo,2006,185,182,93,91,52,182,91
Tokyo,2007,185,179,89,90,52,179,90
Tokyo,2008,186,178,91,94,54,178,94
Tokyo,2009,185,179,90,90,51,179,90
Tokyo,2010,185,181,91,90,50,181,90
Tokyo,2011,185,183,94,91,51,183,91
Tokyo,2012,186,185,93,88,49,185,88
Tokyo,2013,185,183,94,91,49,183,91
Tokyo,2014,185,183,94,91,49,183,91
Tokyo,2015,185,182,91,89,49,182,89
Tokyo,2016,186,181,93,92,49,181,92
Tokyo,2017,185,181,91,90,48,181,90
Tokyo,2018,185,180,90,89,49,180,89
Tokyo,2019,185,181,93,92,51,181,92
Tokyo,2020,186,183,92,89,49,183,89
Tokyo,2021,185,183,94,90,51,183,90
Tokyo,2022,185,183,95,92,52,183,92
Tokyo,2023,185,183,92,89,51,183,89
Tokyo,2024,186,181,93,92,52,181,92
Tokyo,2025,185,180,91,91,52,180,91
Sydney,2000,185,184,94,91,49,184,91
Sydney,2001,184,181,89,90,48,181,90
Sydney,2002,184,180,91,91,50,180,91
Sydney,2003,184,179,92,94,54,179,94
Sydney,2004,185,177,89,92,52,177,92
Sydney,2005,184,179,92,94,53,179,94
Sydney,2006,184,180,92,92,52,180,92
Sydney,2007,184,179,89,91,51,179,91
Sydney,2008,185,184,94,91,51,184,91
Sydney,2009,184,183,91,89,49,183,89
Sydney,2010,184,180,90,90,50,180,90
Sydney,2011,184,181,93,93,52,181,93
Sydney,2012,185,178,89,92,51,178,92
Sydney,2013,184,178,91,94,51,178,94
Sydney,2014,184,180,93,93,50,180,93
Sydney,2015,184,180,89,90,49,180,90
Sydney,2016,185,181,92,93,49,181,93
Sydney,2017,184,181,90,90,48,181,90
Sydney,2018,184,179,88,91,50,179,91
Sydney,2019,184,184,94,91,49,184,91
Sydney,2020,185,180,90,91,50,180,91
Sydney,2021,184,177,90,94,52,177,94
Sydney,2022,184,179,92,94,53,179,94
Sydney,2023,184,179,89,91,51,179,91
Sydney,2024,185,182,93,92,52,182,92
Sydney,2025,184,184,93,90,49,184,90
McMurdo,2000,40,74,9,261,32,74,261
McMurdo,2001,40,68,7,264,31,68,264
McMurdo,2002,40,61,7,271,34,61,271
McMurdo,2003,40,58,6,273,34,58,273
McMurdo,2004,40,55,6,278,33,55,278
McMurdo,2005,40,56,8,276,35,56,276
McMurdo,2006,40,55,6,276,34,55,276
McMurdo,2007,40,55,6,276,34,55,276
McMurdo,2008,40,54,7,279,35,54,279
McMurdo,2009,40,59,7,272,33,59,272
McMurdo,2010,40,66,8,266,34,66,266
McMurdo,2011,40,68,7,264,33,68,264
McMurdo,2012,40,70,7,264,31,70,264
McMurdo,2013,40,80,10,255,32,80,255
McMurdo,2014,40,85,9,250,30,85,250
McMurdo,2015,40,86,10,249,28,86,249
McMurdo,2016,40,87,11,250,31,87,250
McMurdo,2017,40,82,9,251,29,82,251
McMurdo,2018,40,76,8,257,32,76,257
McMurdo,2019,40,70,8,264,33,70,264
McMurdo,2020,40,64,7,270,32,64,270
McMurdo,2021,40,62,8,270,35,62,270
McMurdo,2022,40,59,6,272,34,59,272
McMurdo,2023,40,53,6,278,34,53,278
McMurdo,2024,40,56,7,277,35,56,277
McMurdo,2025,40,55,6,276,34,55,276
Varanasi,2000,184,181,92,93,44,181,93
Varanasi,2001,184,181,89,89,42,181,89
Varanasi,2002,184,182,92,91,43,182,91
Varanasi,2003,184,183,94,92,45,183,92
Varanasi,2004,184,184,92,89,44,184,89
Varanasi,2005,184,183,94,92,45,183,92
Varanasi,2006,184,183,92,91,44,183,91
Varanasi,2007,184,181,89,90,44,181,90
Varanasi,2008,184,180,92,93,46,180,93
Varanasi,2009,184,181,90,90,44,181,90
Varanasi,2010,184,181,90,90,43,181,90
Varanasi,2011,184,183,93,92,45,183,92
Varanasi,2012,184,184,91,89,42,184,89
Varanasi,2013,184,183,94,92,43,183,92
Varanasi,2014,184,183,93,92,43,183,92
Varanasi,2015,184,182,90,89,43,182,89
Varanasi,2016,184,182,93,93,44,182,93
Varanasi,2017,184,181,90,90,41,181,90
Varanasi,2018,184,181,90,90,42,181,90
